日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2016-10-12,'600378,天科股份,16.38,16.46,15.78,15.9,16.03,0.35,2.1834,1.5689,4662769,75872956.0,4868026122.96,4868026122.96,None
2016-10-11,'600378,天科股份,16.03,16.04,15.77,15.88,15.9,0.13,0.8176,0.9416,2798275,44630102.0,4764008470.76,4764008470.76,None
2016-10-10,'600378,天科股份,15.9,15.93,15.43,15.49,15.47,0.43,2.7796,1.1148,3313223,52097585.0,4725373342.8,4725373342.8,None
2016-09-30,'600378,天科股份,15.47,15.68,15.4,15.62,15.47,0.0,0.0,0.4242,1260718,19549255.0,4597580227.24,4597580227.24,None
2016-09-29,'600378,天科股份,15.47,15.64,15.33,15.41,15.48,-0.01,-0.0646,0.6338,1883613,29228911.0,4597580227.24,4597580227.24,None
2016-09-28,'600378,天科股份,15.48,15.65,15.14,15.47,15.38,0.1,0.6502,0.5951,1768475,27273538.0,4600552160.16,4600552160.16,None
2016-09-27,'600378,天科股份,15.38,15.39,15.11,15.11,15.16,0.22,1.4512,0.5364,1594185,24312302.0,4570832830.96,4570832830.96,None
2016-09-26,'600378,天科股份,15.16,15.77,15.13,15.45,15.39,-0.23,-1.4945,0.6244,1855555,28760803.0,4505450306.72,4505450306.72,None
2016-09-23,'600378,天科股份,15.39,15.45,15.3,15.4,15.35,0.04,0.2606,0.4974,1478142,22715597.0,4573804763.88,4573804763.88,None
2016-09-22,'600378,天科股份,15.35,15.77,15.28,15.72,15.47,-0.12,-0.7757,0.68,2020839,31257698.0,4561917032.2,4561917032.2,None
2016-09-21,'600378,天科股份,15.47,15.72,15.12,15.18,15.18,0.29,1.9104,0.9627,2861186,44268379.0,4597580227.24,4597580227.24,None
2016-09-20,'600378,天科股份,15.18,15.26,15.08,15.16,15.16,0.02,0.1319,0.4477,1330590,20146917.0,4511394172.56,4511394172.56,None
2016-09-19,'600378,天科股份,15.16,15.24,15.01,15.05,15.09,0.07,0.4639,0.5845,1736993,26268464.0,4505450306.72,4505450306.72,None
2016-09-14,'600378,天科股份,15.09,15.11,14.75,14.9,14.97,0.12,0.8016,0.5354,1591068,23875969.0,4484646776.28,4484646776.28,None
2016-09-13,'600378,天科股份,14.97,15.15,14.91,15.1,14.95,0.02,0.1338,0.4343,1290615,19372074.0,4448983581.24,4448983581.24,None
2016-09-12,'600378,天科股份,14.95,15.41,14.9,15.41,15.85,-0.9,-5.6782,1.3585,4037384,60983939.0,4443039715.4,4443039715.4,None
2016-09-09,'600378,天科股份,15.85,16.39,15.82,16.02,16.1,-0.25,-1.5528,1.4072,4182011,67619933.0,4710513678.2,4710513678.2,None
2016-09-08,'600378,天科股份,16.1,16.25,15.95,15.95,16.11,-0.01,-0.0621,0.799,2374637,38124735.0,4784812001.2,4784812001.2,None
2016-09-07,'600378,天科股份,16.11,16.36,15.77,15.79,15.79,0.32,2.0266,1.4767,4388546,70642735.0,4787783934.12,4787783934.12,None
2016-09-06,'600378,天科股份,15.79,15.85,15.32,15.67,15.66,0.13,0.8301,0.6914,2054731,32028753.0,4692682080.68,4692682080.68,None
2016-09-05,'600378,天科股份,15.66,15.97,15.62,15.8,15.86,-0.2,-1.261,0.612,1818881,28727979.0,4654046952.72,4654046952.72,None
2016-09-02,'600378,天科股份,15.86,16.14,15.8,15.9,15.99,-0.13,-0.813,0.5579,1658176,26382669.0,4713485611.12,4713485611.12,None
2016-09-01,'600378,天科股份,15.99,16.15,15.88,15.95,15.96,0.03,0.188,0.7582,2253246,36049340.0,4752120739.08,4752120739.08,None
2016-08-31,'600378,天科股份,15.96,16.05,15.72,15.94,16.04,-0.08,-0.4988,0.7523,2235758,35471099.0,4743204940.32,4743204940.32,None
2016-08-30,'600378,天科股份,16.04,16.36,15.91,16.23,16.22,-0.18,-1.1097,0.7299,2169268,34885755.0,4766980403.68,4766980403.68,None
2016-08-29,'600378,天科股份,16.22,16.24,15.76,15.76,15.74,0.48,3.0496,0.8211,2440346,39089931.0,4820475196.24,4820475196.24,None
2016-08-26,'600378,天科股份,15.74,16.02,15.61,15.61,15.72,0.02,0.1272,0.7584,2253947,35681267.0,4677822416.08,4677822416.08,None
2016-08-25,'600378,天科股份,15.72,15.98,15.52,15.98,16.01,-0.29,-1.8114,0.9118,2709711,42451559.0,4671878550.24,4671878550.24,None
2016-08-24,'600378,天科股份,16.01,16.24,15.92,16.12,16.16,-0.15,-0.9282,0.8634,2565865,41185114.0,4758064604.92,4758064604.92,None
2016-08-23,'600378,天科股份,16.16,16.24,15.93,16.02,16.01,0.15,0.9369,0.7375,2191889,35270593.0,4802643598.72,4802643598.72,None
2016-08-22,'600378,天科股份,16.01,16.2,15.9,16.02,16.03,-0.02,-0.1248,0.8688,2582078,41424316.0,4758064604.92,4758064604.92,None
