�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉,傖蝠捩杅
2016-10-12,'600660,腦珓產薛,18.14,18.25,17.88,18.24,18.34,-0.2,-1.0905,0.5737,11490594,206928474.0,45506322030.5,36334172062.5,None
2016-10-11,'600660,腦珓產薛,18.34,18.67,18.12,18.39,18.39,-0.05,-0.2719,0.9072,18170795,332525274.0,46008045536.9,36734769328.9,None
2016-10-10,'600660,腦珓產薛,18.39,18.58,17.38,17.6,16.89,1.5,8.881,1.4278,28598369,517634428.0,46133476413.5,36834918645.5,None
2016-09-30,'600660,腦珓產薛,16.89,16.96,16.75,16.8,16.81,0.08,0.4759,0.2133,4271933,72259520.0,42370550115.5,33830439147.5,None
2016-09-29,'600660,腦珓產薛,16.81,16.87,16.51,16.52,16.52,0.29,1.7554,0.3555,7120868,119312154.0,42169860712.9,33670200240.9,None
2016-09-28,'600660,腦珓產薛,16.52,16.58,16.36,16.5,16.46,0.06,0.3645,0.1773,3550629,58518074.0,41442361628.6,33089334204.6,None
2016-09-27,'600660,腦珓產薛,16.46,16.47,16.15,16.15,16.17,0.29,1.7934,0.2338,4683617,76459461.0,41291844576.7,32969155024.7,None
2016-09-26,'600660,腦珓產薛,16.17,16.41,16.1,16.25,16.35,-0.18,-1.1009,0.295,5908693,96107035.0,40564345492.4,32388288988.4,None
2016-09-23,'600660,腦珓產薛,16.35,16.49,16.28,16.47,16.45,-0.1,-0.6079,0.1573,3151138,51524814.0,41015896648.2,32748826528.2,None
2016-09-22,'600660,腦珓產薛,16.45,16.46,16.25,16.29,16.21,0.24,1.4806,0.3476,6963268,114082560.0,41266758401.4,32949125161.4,None
2016-09-21,'600660,腦珓產薛,16.21,16.34,16.18,16.19,16.19,0.02,0.1235,0.2542,5091566,82668330.0,40664690193.7,32468408441.7,None
2016-09-20,'600660,腦珓產薛,16.19,16.29,16.13,16.2,16.26,-0.07,-0.4305,0.1727,3459052,56149756.0,40614517843.1,32428348715.1,None
2016-09-19,'600660,腦珓產薛,16.26,16.44,16.22,16.32,16.03,0.23,1.4348,0.4101,8214091,134140416.0,40790121070.3,32568557758.3,None
2016-09-14,'600660,腦珓產薛,16.03,16.1,15.88,16.01,16.19,-0.16,-0.9883,0.5756,11528246,184188752.0,40213139038.0,32107870902.0,None
2016-09-13,'600660,腦珓產薛,16.19,16.27,16.09,16.21,16.21,-0.02,-0.1234,0.2117,4240713,68675847.0,40614517843.1,32428348715.1,None
2016-09-12,'600660,腦珓產薛,16.21,16.35,16.0,16.35,16.56,-0.35,-2.1135,0.5459,10934768,176623534.0,40664690193.7,32468408441.7,None
2016-09-09,'600660,腦珓產薛,16.56,16.87,16.51,16.75,16.81,-0.25,-1.4872,0.4824,9661734,161016173.0,41542706329.9,33169453657.9,None
2016-09-08,'600660,腦珓產薛,16.81,16.98,16.71,16.75,16.79,0.02,0.1191,0.2004,4014965,67620844.0,42169860712.9,33670200240.9,None
2016-09-07,'600660,腦珓產薛,16.79,16.96,16.72,16.73,16.71,0.08,0.4788,0.5841,11698983,197377560.0,42119688362.3,33630140514.3,None
2016-09-06,'600660,腦珓產薛,16.71,16.76,16.31,16.31,16.37,0.34,2.077,0.5062,10139433,168189292.0,41918998959.7,33469901607.7,None
2016-09-05,'600660,腦珓產薛,16.37,16.45,16.27,16.31,16.29,0.08,0.4911,0.353,7070141,115562160.0,41066068998.8,32788886254.8,None
2016-09-02,'600660,腦珓產薛,16.29,16.31,16.09,16.29,16.34,-0.05,-0.306,0.554,11097425,179740062.0,40865379596.3,32628647348.3,None
2016-09-01,'600660,腦珓產薛,16.34,16.52,16.27,16.43,16.47,-0.13,-0.7893,0.4646,9304907,152255553.0,40990810472.9,32728796664.9,None
2016-08-31,'600660,腦珓產薛,16.47,16.61,16.28,16.55,16.64,-0.17,-1.0216,0.5975,11968609,196242854.0,41316930752.0,32989184888.0,None
2016-08-30,'600660,腦珓產薛,16.64,16.88,16.56,16.85,16.89,-0.25,-1.4802,0.5731,11478487,191531196.0,41743395732.5,33329692564.5,None
2016-08-29,'600660,腦珓產薛,16.89,17.38,16.76,17.17,17.01,-0.12,-0.7055,0.55,11016743,187480912.0,42370550115.5,33830439147.5,None
2016-08-26,'600660,腦珓產薛,17.01,17.08,16.82,16.82,16.81,0.2,1.1898,0.4203,8417743,143010290.0,42671584219.3,34070797507.3,None
2016-08-25,'600660,腦珓產薛,16.81,17.18,16.74,16.95,16.86,-0.05,-0.2966,0.6314,12646694,214152030.0,42169860712.9,33670200240.9,None
2016-08-24,'600660,腦珓產薛,16.86,16.98,16.74,16.93,16.9,-0.04,-0.2367,0.2897,5802688,97606343.0,42295291589.5,33770349557.5,None
2016-08-23,'600660,腦珓產薛,16.9,17.15,16.85,17.07,17.09,-0.19,-1.1118,0.2891,5789847,98341733.0,42395636290.8,33850469010.8,None
2016-08-22,'600660,腦珓產薛,17.09,17.29,16.99,17.02,16.98,0.11,0.6478,0.3894,7799544,133424698.0,42872273621.9,34231036413.9,None
2016-08-19,'600660,腦珓產薛,16.98,17.24,16.81,17.24,17.15,-0.17,-0.9913,0.4074,8159201,138624308.0,42596325693.4,34010707917.4,None
2016-08-18,'600660,腦珓產薛,17.15,17.29,16.96,17.22,17.39,-0.24,-1.3801,0.4943,9900206,169460911.0,43022790673.8,34351215593.8,None
2016-08-17,'600660,腦珓產薛,17.39,17.55,16.37,16.5,16.58,0.81,4.8854,1.4802,29647283,509956615.0,43624858881.5,34831932313.5,None
2016-08-16,'600660,腦珓產薛,16.58,17.13,16.18,16.97,16.89,-0.31,-1.8354,1.935,38758733,639559744.0,41592878680.6,33209513384.6,None
2016-08-15,'600660,腦珓產薛,16.89,16.93,16.3,16.3,16.37,0.52,3.1765,0.8943,17913114,300747358.0,42370550115.5,33830439147.5,None
2016-08-12,'600660,腦珓產薛,16.37,16.42,16.1,16.24,16.18,0.19,1.1743,0.3849,7710464,124939718.0,41066068998.8,32788886254.8,None
2016-08-11,'600660,腦珓產薛,16.18,16.45,16.11,16.36,16.42,-0.24,-1.4616,0.5351,10717567,173799141.0,40589431667.8,32408318851.8,None
2016-08-10,'600660,腦珓產薛,16.42,16.88,16.26,16.7,16.68,-0.26,-1.5588,0.5565,11145797,183518815.0,41191499875.4,32889035571.4,None
2016-08-09,'600660,腦珓產薛,16.68,16.69,16.58,16.67,16.63,0.05,0.3007,0.4856,9726308,161693889.0,41843740433.8,33409812017.8,None
