хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣,Ёи╫╩╠ййЩ
2016-10-12,'601566,╬едамУ,16.14,16.21,15.87,15.99,16.0,0.14,0.875,0.4089,2349775,37740461.0,9274643601.0,9274643601.0,None
2016-10-11,'601566,╬едамУ,16.0,16.07,15.64,15.64,15.62,0.38,2.4328,0.5834,3352449,53215787.0,9194194400.0,9194194400.0,None
2016-10-10,'601566,╬едамУ,15.62,15.63,15.34,15.34,15.3,0.32,2.0915,0.2853,1639183,25471268.0,8975832283.0,8975832283.0,None
2016-09-30,'601566,╬едамУ,15.3,15.34,15.2,15.29,15.28,0.02,0.1309,0.1341,770843,11790654.0,8791948395.0,8791948395.0,None
2016-09-29,'601566,╬едамУ,15.28,15.37,15.13,15.18,15.18,0.1,0.6588,0.1799,1033867,15806352.0,8780455652.0,8780455652.0,None
2016-09-28,'601566,╬едамУ,15.18,15.27,15.11,15.27,15.19,-0.01,-0.0658,0.188,1080377,16393562.0,8722991937.0,8722991937.0,None
2016-09-27,'601566,╬едамУ,15.19,15.24,15.04,15.13,15.04,0.15,0.9973,0.191,1097305,16574004.0,8728738308.5,8728738308.5,None
2016-09-26,'601566,╬едамУ,15.04,15.62,14.98,15.58,15.62,-0.58,-3.7132,0.4161,2391172,36462197.0,8642542736.0,8642542736.0,None
2016-09-23,'601566,╬едамУ,15.62,15.71,15.56,15.6,15.61,0.01,0.0641,0.3068,1763132,27561430.0,8975832283.0,8975832283.0,None
2016-09-22,'601566,╬едамУ,15.61,15.72,15.57,15.66,15.61,0.0,0.0,0.3816,2192555,34277619.0,8970085911.5,8970085911.5,None
2016-09-21,'601566,╬едамУ,15.61,15.68,15.51,15.52,15.52,0.09,0.5799,0.25,1436875,22424719.0,8970085911.5,8970085911.5,None
2016-09-20,'601566,╬едамУ,15.52,15.66,15.46,15.59,15.59,-0.07,-0.449,0.1795,1031672,16025590.0,8918368568.0,8918368568.0,None
2016-09-19,'601566,╬едамУ,15.59,15.6,15.45,15.45,15.45,0.14,0.9061,0.166,953869,14827300.0,8958593168.5,8958593168.5,None
2016-09-14,'601566,╬едамУ,15.45,15.57,15.41,15.52,15.56,-0.11,-0.7069,0.2432,1397700,21658902.0,8878143967.5,8878143967.5,None
2016-09-13,'601566,╬едамУ,15.56,15.67,15.45,15.52,15.48,0.08,0.5168,0.2331,1339491,20811826.0,8941354054.0,8941354054.0,None
2016-09-12,'601566,╬едамУ,15.48,15.93,15.45,15.93,16.14,-0.66,-4.0892,0.5061,2908075,45521297.0,8895383082.0,8895383082.0,None
2016-09-09,'601566,╬едамУ,16.14,16.35,16.1,16.28,16.31,-0.17,-1.0423,0.3052,1753922,28473380.0,9274643601.0,9274643601.0,None
