ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต,ณษฝปฑสสý
2016-10-12,'603027,วงบฬฮถาต,34.49,34.88,33.91,34.01,34.27,0.22,0.642,4.7512,1900463,65552148.0,5518400000.0,1379600000.0,None
2016-10-11,'603027,วงบฬฮถาต,34.27,34.45,33.76,34.07,33.73,0.54,1.6009,3.9729,1589162,54171308.0,5483200000.0,1370800000.0,None
2016-10-10,'603027,วงบฬฮถาต,33.73,34.0,32.72,32.84,32.5,1.23,3.7846,3.6424,1456974,48784665.0,5396800000.0,1349200000.0,None
2016-09-30,'603027,วงบฬฮถาต,32.5,32.69,32.31,32.4,32.4,0.1,0.3086,1.4081,563232,18324832.0,5200000000.0,1300000000.0,None
2016-09-29,'603027,วงบฬฮถาต,32.4,32.78,32.23,32.44,32.22,0.18,0.5587,2.0903,836127,27198316.0,5184000000.0,1296000000.0,None
2016-09-28,'603027,วงบฬฮถาต,32.22,32.54,32.11,32.26,32.37,-0.15,-0.4634,1.8094,723765,23367233.0,5155200000.0,1288800000.0,None
2016-09-27,'603027,วงบฬฮถาต,32.37,32.41,31.67,31.85,31.97,0.4,1.2512,3.1409,1256373,40242998.0,5179200000.0,1294800000.0,None
2016-09-26,'603027,วงบฬฮถาต,31.97,33.8,31.8,33.63,33.63,-1.66,-4.9361,5.2423,2096932,68414793.0,5115200000.0,1278800000.0,None
2016-09-23,'603027,วงบฬฮถาต,33.63,34.29,33.6,34.29,34.03,-0.4,-1.1754,2.6986,1079434,36609019.0,5380800000.0,1345200000.0,None
2016-09-22,'603027,วงบฬฮถาต,34.03,34.48,33.89,34.25,33.99,0.04,0.1177,3.3403,1336105,45630005.0,5444800000.0,1361200000.0,None
2016-09-21,'603027,วงบฬฮถาต,33.99,34.08,33.31,33.83,34.0,-0.01,-0.0294,3.4315,1372600,46445504.0,5438400000.0,1359600000.0,None
2016-09-20,'603027,วงบฬฮถาต,34.0,34.33,33.8,34.0,33.96,0.04,0.1178,1.8059,722340,24566827.0,5440000000.0,1360000000.0,None
2016-09-19,'603027,วงบฬฮถาต,33.96,34.0,33.61,33.62,33.43,0.53,1.5854,2.3301,932023,31566847.0,5433600000.0,1358400000.0,None
2016-09-14,'603027,วงบฬฮถาต,33.43,33.82,33.25,33.51,33.56,-0.13,-0.3874,2.7414,1096560,36817669.0,5348800000.0,1337200000.0,None
2016-09-13,'603027,วงบฬฮถาต,33.56,34.0,33.35,33.72,33.54,0.02,0.0596,2.6886,1075459,36159287.0,5369600000.0,1342400000.0,None
2016-09-12,'603027,วงบฬฮถาต,33.54,34.4,33.38,34.21,35.06,-1.52,-4.3354,5.4956,2198220,74685933.0,5366400000.0,1341600000.0,None
2016-09-09,'603027,วงบฬฮถาต,35.06,35.96,35.0,35.8,35.82,-0.76,-2.1217,4.1338,1653505,58819272.0,5609600000.0,1402400000.0,None
2016-09-08,'603027,วงบฬฮถาต,35.82,35.86,35.52,35.6,35.54,0.28,0.7878,3.3815,1352583,48235276.0,5731200000.0,1432800000.0,None
2016-09-07,'603027,วงบฬฮถาต,35.54,36.0,35.44,35.48,35.69,-0.15,-0.4203,4.089,1635596,58456561.0,5686400000.0,1421600000.0,None
