»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ,≥…Ωª±  ˝
2016-10-12,'603398,∞Ó±¶“Ê÷«,35.3,35.48,34.5,34.79,35.09,0.21,0.5985,6.2228,3285650,114827144.0,7455360000.0,1863840000.0,None
2016-10-11,'603398,∞Ó±¶“Ê÷«,35.09,35.98,34.7,34.8,34.98,0.11,0.3145,8.6062,4544071,160958926.0,7411008000.0,1852752000.0,None
2016-10-10,'603398,∞Ó±¶“Ê÷«,34.98,35.2,34.1,34.3,33.94,1.04,3.0642,6.7459,3561839,123626059.0,7387776000.0,1846944000.0,None
2016-09-30,'603398,∞Ó±¶“Ê÷«,33.94,34.44,33.7,33.7,34.11,-0.17,-0.4984,3.6838,1945064,66358216.0,7168128000.0,1792032000.0,None
2016-09-29,'603398,∞Ó±¶“Ê÷«,34.11,34.45,33.85,34.38,34.33,-0.22,-0.6408,5.3051,2801082,95432798.0,7204032000.0,1801008000.0,None
2016-09-28,'603398,∞Ó±¶“Ê÷«,34.33,34.4,33.41,33.9,33.95,0.38,1.1193,7.6165,4021529,137073551.0,7250496000.0,1812624000.0,None
2016-09-27,'603398,∞Ó±¶“Ê÷«,33.95,34.4,33.3,33.3,33.59,0.36,1.0717,6.3014,3327116,112666815.0,7170240000.0,1792560000.0,None
2016-09-26,'603398,∞Ó±¶“Ê÷«,33.59,33.98,33.0,33.47,33.92,-0.33,-0.9729,9.03,4767817,159483135.0,7094208000.0,1773552000.0,None
2016-09-23,'603398,∞Ó±¶“Ê÷«,33.92,34.4,32.01,32.01,31.96,1.96,6.1327,14.5526,7683765,257444267.0,7163904000.0,1790976000.0,None
2016-09-22,'603398,∞Ó±¶“Ê÷«,31.96,32.33,31.95,32.12,31.8,0.16,0.5031,2.5573,1350253,43388745.0,6749952000.0,1687488000.0,None
2016-09-21,'603398,∞Ó±¶“Ê÷«,31.8,32.18,31.73,31.8,31.79,0.01,0.0315,2.1744,1148071,36639275.0,6716160000.0,1679040000.0,None
2016-09-20,'603398,∞Ó±¶“Ê÷«,31.79,31.96,31.71,31.8,31.83,-0.04,-0.1257,1.7599,929240,29577220.0,6714048000.0,1678512000.0,None
2016-09-19,'603398,∞Ó±¶“Ê÷«,31.83,31.96,31.69,31.69,31.58,0.25,0.7916,1.7978,949218,30233708.0,6722496000.0,1680624000.0,None
2016-09-14,'603398,∞Ó±¶“Ê÷«,31.58,31.97,31.4,31.7,31.7,-0.12,-0.3785,2.0913,1104220,34971373.0,6669696000.0,1667424000.0,None
2016-09-13,'603398,∞Ó±¶“Ê÷«,31.7,31.8,31.42,31.7,31.46,0.24,0.7629,2.885,1523294,48169688.0,6695040000.0,1673760000.0,None
2016-09-12,'603398,∞Ó±¶“Ê÷«,31.46,32.36,31.42,32.36,32.94,-1.48,-4.493,4.8351,2552910,81379627.0,6644352000.0,1661088000.0,None
2016-09-09,'603398,∞Ó±¶“Ê÷«,32.94,33.74,32.8,33.45,33.6,-0.66,-1.9643,4.3853,2315433,76779517.0,6956928000.0,1739232000.0,None
2016-09-08,'603398,∞Ó±¶“Ê÷«,33.6,33.98,33.34,33.6,34.02,-0.42,-1.2346,5.4007,2851553,95775786.0,7096320000.0,1774080000.0,None
2016-09-07,'603398,∞Ó±¶“Ê÷«,34.02,35.4,32.9,33.2,33.28,0.74,2.2236,9.804,5176490,176607075.0,7185024000.0,1796256000.0,None
2016-09-06,'603398,∞Ó±¶“Ê÷«,33.28,33.3,32.5,32.78,32.75,0.53,1.6183,4.034,2129964,70205582.0,7028736000.0,1757184000.0,None
2016-09-05,'603398,∞Ó±¶“Ê÷«,32.75,33.32,32.65,33.03,33.02,-0.27,-0.8177,3.2331,1707074,56273837.0,6916800000.0,1729200000.0,None
2016-09-02,'603398,∞Ó±¶“Ê÷«,33.02,33.79,32.99,33.5,33.88,-0.86,-2.5384,5.2322,2762601,91991473.0,6973824000.0,1743456000.0,None
2016-09-01,'603398,∞Ó±¶“Ê÷«,33.88,35.18,33.84,34.7,34.75,-0.87,-2.5036,5.4767,2891687,99986589.0,7155456000.0,1788864000.0,None
2016-08-31,'603398,∞Ó±¶“Ê÷«,34.75,34.8,33.66,34.2,34.16,0.59,1.7272,5.3084,2802845,95946703.0,7339200000.0,1834800000.0,None
2016-08-30,'603398,∞Ó±¶“Ê÷«,34.16,34.68,34.07,34.45,34.44,-0.28,-0.813,3.5036,1849895,63437293.0,7214592000.0,1803648000.0,None
2016-08-29,'603398,∞Ó±¶“Ê÷«,34.44,34.75,33.65,33.92,34.26,0.18,0.5254,4.6654,2463350,84341431.0,7273728000.0,1818432000.0,None
2016-08-26,'603398,∞Ó±¶“Ê÷«,34.26,34.68,33.6,33.6,33.58,0.68,2.025,6.2837,3317790,113635555.0,7235712000.0,1808928000.0,None
2016-08-25,'603398,∞Ó±¶“Ê÷«,33.58,34.09,33.02,34.09,34.33,-0.75,-2.1847,6.5231,3444223,114944024.0,7092096000.0,1773024000.0,None
2016-08-24,'603398,∞Ó±¶“Ê÷«,34.33,34.9,34.22,34.35,34.37,-0.04,-0.1164,4.553,2403977,82923749.0,7250496000.0,1812624000.0,None
2016-08-23,'603398,∞Ó±¶“Ê÷«,34.37,35.0,34.06,34.15,34.3,0.07,0.2041,5.1428,2715424,93823408.0,7258944000.0,1814736000.0,None
2016-08-22,'603398,∞Ó±¶“Ê÷«,34.3,35.41,34.13,35.17,35.69,-1.39,-3.8946,9.3651,4944785,170709194.0,7244160000.0,1811040000.0,None
2016-08-19,'603398,∞Ó±¶“Ê÷«,35.69,36.98,35.16,35.36,35.47,0.22,0.6202,13.2416,6991541,252476851.0,7537728000.0,1884432000.0,None
2016-08-18,'603398,∞Ó±¶“Ê÷«,35.47,35.95,35.11,35.86,36.53,-1.06,-2.9017,12.9901,6858753,243461029.0,7491264000.0,1872816000.0,None
2016-08-17,'603398,∞Ó±¶“Ê÷«,36.53,37.26,33.36,33.92,33.88,2.65,7.8217,25.9071,13678965,491226464.0,7715136000.0,1928784000.0,None
2016-08-16,'603398,∞Ó±¶“Ê÷«,33.88,34.35,32.67,32.84,32.8,1.08,3.2927,11.9861,6328637,213407519.0,7155456000.0,1788864000.0,None
2016-08-15,'603398,∞Ó±¶“Ê÷«,32.8,33.18,31.65,32.3,32.19,0.61,1.895,7.5768,4000524,130647023.0,6927360000.0,1731840000.0,None
2016-08-12,'603398,∞Ó±¶“Ê÷«,32.19,32.28,31.01,32.0,32.0,0.19,0.5938,3.6387,1921233,61269085.0,6798528000.0,1699632000.0,None
2016-08-11,'603398,∞Ó±¶“Ê÷«,32.0,32.8,31.9,32.65,32.84,-0.84,-2.5579,4.4456,2347269,75646800.0,6758400000.0,1689600000.0,None
