»’∆Џ,є…∆±іъ¬л,√ы≥∆, ’≈ћЉџ,„оЄяЉџ,„оµЌЉџ,њ™≈ћЉџ,«∞ ’≈ћ,’«µшґо,’«µшЈщ,її ÷¬ ,≥…љїЅњ,≥…љїљрґо,„№ –÷µ,ЅчЌ® –÷µ,≥…љї±  э
2016-10-12,'603993,¬е—фов“µ,3.76,3.78,3.75,3.78,3.79,-0.03,-0.7916,0.1734,22466893,84485811.0,63495867108.2,48706027428.2,None
2016-10-11,'603993,¬е—фов“µ,3.79,3.8,3.76,3.79,3.78,0.01,0.2646,0.1832,23736000,89540815.0,64002483069.2,49094639349.2,None
2016-10-10,'603993,¬е—фов“µ,3.78,3.79,3.74,3.74,3.71,0.07,1.8868,0.1864,24146657,91111134.0,63833611082.2,48965102042.2,None
2016-09-30,'603993,¬е—фов“µ,3.71,3.73,3.69,3.72,3.71,0.0,0.0,0.1018,13183105,48861988.0,62651507173.3,48058340893.3,None
2016-09-29,'603993,¬е—фов“µ,3.71,3.75,3.7,3.72,3.71,0.0,0.0,0.1068,13835246,51519269.0,62651507173.3,48058340893.3,None
2016-09-28,'603993,¬е—фов“µ,3.71,3.76,3.67,3.71,3.69,0.02,0.542,0.1694,21943287,81733317.0,62651507173.3,48058340893.3,None
2016-09-27,'603993,¬е—фов“µ,3.69,3.71,3.65,3.7,3.7,-0.01,-0.2703,0.167,21629327,79568919.0,62313763199.3,47799266279.3,None
2016-09-26,'603993,¬е—фов“µ,3.7,3.83,3.69,3.83,3.82,-0.12,-3.1414,0.226,29277882,110124581.0,62482635186.3,47928803586.3,None
2016-09-23,'603993,¬е—фов“µ,3.82,3.85,3.8,3.85,3.84,-0.02,-0.5208,0.1492,19328193,73842009.0,64509099030.2,49483251270.2,None
2016-09-22,'603993,¬е—фов“µ,3.84,3.86,3.83,3.84,3.83,0.01,0.2611,0.1524,19738448,75834084.0,64846843004.2,49742325884.2,None
2016-09-21,'603993,¬е—фов“µ,3.83,3.86,3.82,3.84,3.83,0.0,0.0,0.0995,12893857,49511307.0,64677971017.2,49612788577.2,None
2016-09-20,'603993,¬е—фов“µ,3.83,3.85,3.82,3.85,3.83,0.0,0.0,0.0844,10937931,41936322.0,64677971017.2,49612788577.2,None
2016-09-19,'603993,¬е—фов“µ,3.83,3.84,3.8,3.8,3.8,0.03,0.7895,0.1208,15652163,59925427.0,64677971017.2,49612788577.2,None
2016-09-14,'603993,¬е—фов“µ,3.8,3.84,3.78,3.8,3.85,-0.05,-1.2987,0.1761,22808206,86813600.0,64171355056.2,49224176656.2,None
2016-09-13,'603993,¬е—фов“µ,3.85,3.89,3.83,3.87,3.87,-0.02,-0.5168,0.1902,24634750,94921066.0,65015714991.2,49871863191.2,None
2016-09-12,'603993,¬е—фов“µ,3.87,3.97,3.84,3.96,3.98,-0.11,-2.7638,0.3753,48619402,189729483.0,65353458965.1,50130937805.1,None
2016-09-09,'603993,¬е—фов“µ,3.98,4.02,3.98,4.0,3.99,-0.01,-0.2506,0.1805,23382980,93540797.0,67211050822.0,51555848182.0,None
2016-09-08,'603993,¬е—фов“µ,3.99,4.02,3.98,4.02,4.02,-0.03,-0.7463,0.1889,24469091,97691937.0,67379922809.0,51685385489.0,None
2016-09-07,'603993,¬е—фов“µ,4.02,4.05,4.0,4.03,4.02,0.0,0.0,0.2993,38773932,155984670.0,67886538770.0,52073997410.0,None
2016-09-06,'603993,¬е—фов“µ,4.02,4.02,3.97,4.01,4.01,0.01,0.2494,0.2096,27148490,108420176.0,67886538770.0,52073997410.0,None
2016-09-05,'603993,¬е—фов“µ,4.01,4.04,4.0,4.0,4.0,0.01,0.25,0.2218,28735665,115447189.0,67717666783.0,51944460103.0,None
2016-09-02,'603993,¬е—фов“µ,4.0,4.03,3.99,3.99,4.0,0.0,0.0,0.1619,20974343,83929392.0,67548794796.0,51814922796.0,None
2016-09-01,'603993,¬е—фов“µ,4.0,4.05,4.0,4.05,4.04,-0.04,-0.9901,0.1592,20623843,83022896.0,67548794796.0,51814922796.0,None
2016-08-31,'603993,¬е—фов“µ,4.04,4.05,3.97,4.0,3.99,0.05,1.2531,0.2418,31323169,125634797.0,68224282744.0,52333072024.0,None
2016-08-30,'603993,¬е—фов“µ,3.99,4.02,3.98,4.01,4.0,-0.01,-0.25,0.1546,20022710,79999414.0,67379922809.0,51685385489.0,None
2016-08-29,'603993,¬е—фов“µ,4.0,4.03,3.99,4.0,4.01,-0.01,-0.2494,0.1746,22616606,90586939.0,67548794796.0,51814922796.0,None
2016-08-26,'603993,¬е—фов“µ,4.01,4.04,4.01,4.02,4.01,0.0,0.0,0.1295,16776980,67498926.0,67717666783.0,51944460103.0,None
2016-08-25,'603993,¬е—фов“µ,4.01,4.04,3.98,4.04,4.05,-0.04,-0.9877,0.2367,30663570,122764184.0,67717666783.0,51944460103.0,None
2016-08-24,'603993,¬е—фов“µ,4.05,4.07,4.04,4.05,4.06,-0.01,-0.2463,0.1357,17580600,71151368.0,68393154730.9,52462609330.9,None
2016-08-23,'603993,¬е—фов“µ,4.06,4.08,4.04,4.05,4.06,0.0,0.0,0.1851,23977668,97200070.0,68562026717.9,52592146637.9,None
2016-08-22,'603993,¬е—фов“µ,4.06,4.1,4.05,4.09,4.09,-0.03,-0.7335,0.2053,26588401,108093440.0,68562026717.9,52592146637.9,None
2016-08-19,'603993,¬е—фов“µ,4.09,4.11,4.05,4.09,4.1,-0.01,-0.2439,0.2995,38793738,157979860.0,69068642678.9,52980758558.9,None
2016-08-18,'603993,¬е—фов“µ,4.1,4.13,4.08,4.1,4.11,-0.01,-0.2433,0.2718,35206103,144316160.0,69237514665.9,53110295865.9,None
2016-08-17,'603993,¬е—фов“µ,4.11,4.16,4.08,4.15,4.16,-0.05,-1.2019,0.3136,40626146,167094356.0,69406386652.9,53239833172.9,None
2016-08-16,'603993,¬е—фов“µ,4.16,4.18,4.13,4.14,4.15,0.01,0.241,0.4266,55262689,229389186.0,70250746587.8,53887519707.8,None
2016-08-15,'603993,¬е—фов“µ,4.15,4.17,4.06,4.09,4.1,0.05,1.2195,0.4846,62768003,258720760.0,70081874600.9,53757982400.8,None
2016-08-12,'603993,¬е—фов“µ,4.1,4.11,4.03,4.09,4.09,0.01,0.2445,0.3003,38899457,158038675.0,69237514665.9,53110295865.9,None
2016-08-11,'603993,¬е—фов“µ,4.09,4.2,4.07,4.19,4.18,-0.09,-2.1531,0.3928,50883321,209294435.0,69068642678.9,52980758558.9,None
2016-08-10,'603993,¬е—фов“µ,4.18,4.2,4.06,4.07,4.07,0.11,2.7027,0.5615,72739440,301985749.0,70588490561.8,54146594321.8,None
2016-08-09,'603993,¬е—фов“µ,4.07,4.07,4.05,4.05,4.05,0.02,0.4938,0.248,32128571,130409525.0,68730898704.9,52721683944.9,None
2016-08-08,'603993,¬е—фов“µ,4.05,4.06,3.99,4.02,4.02,0.03,0.7463,0.2162,28012111,112822498.0,68393154730.9,52462609330.9,None
2016-08-05,'603993,¬е—фов“µ,4.02,4.06,4.01,4.05,4.06,-0.04,-0.9852,0.19,24611390,99150195.0,67886538770.0,52073997410.0,None
2016-08-04,'603993,¬е—фов“µ,4.06,4.09,3.96,4.0,3.99,0.07,1.7544,0.3133,40583450,163245550.0,68562026717.9,52592146637.9,None
2016-08-03,'603993,¬е—фов“µ,3.99,4.03,3.96,4.0,4.0,-0.01,-0.25,0.1997,25866974,103341737.0,67379922809.0,51685385489.0,None
2016-08-02,'603993,¬е—фов“µ,4.0,4.02,3.95,4.0,3.99,0.01,0.2506,0.218,28242336,112580475.0,67548794796.0,51814922796.0,None
2016-08-01,'603993,¬е—фов“µ,3.99,4.07,3.95,4.06,4.05,-0.06,-1.4815,0.2901,37573734,150322494.0,67379922809.0,51685385489.0,None
2016-07-29,'603993,¬е—фов“µ,4.05,4.16,4.03,4.1,4.1,-0.05,-1.2195,0.2644,34243700,139266788.0,68393154730.9,52462609330.9,None
2016-07-28,'603993,¬е—фов“µ,4.1,4.12,4.01,4.08,4.08,0.02,0.4902,0.3253,42142106,171934162.0,69237514665.9,53110295865.9,None
2016-07-27,'603993,¬е—фов“µ,4.08,4.28,4.01,4.27,4.27,-0.19,-4.4496,0.6635,85953718,355551329.0,68899770691.9,52851221251.9,None
2016-07-26,'603993,¬е—фов“µ,4.27,4.28,4.21,4.21,4.21,0.06,1.4252,0.287,37179484,158526072.0,72108338444.7,55312430084.7,None
2016-07-25,'603993,¬е—фов“µ,4.21,4.25,4.17,4.2,4.24,-0.03,-0.7075,0.3635,47088162,197806595.0,71095106522.8,54535206242.8,None
2016-07-22,'603993,¬е—фов“µ,4.24,4.31,4.23,4.31,4.33,-0.09,-2.0785,0.4939,63979095,272592586.0,71601722483.8,54923818163.8,None
2016-07-21,'603993,¬е—фов“µ,4.33,4.36,4.24,4.35,4.35,-0.02,-0.4598,0.5951,77086228,331394290.0,73121570366.7,56089653926.7,None
2016-07-20,'603993,¬е—фов“µ,4.35,4.38,4.32,4.34,4.35,0.0,0.0,0.3175,41128085,178962243.0,73459314340.6,56348728540.7,None
2016-07-19,'603993,¬е—фов“µ,4.35,4.42,4.29,4.39,4.39,-0.04,-0.9112,0.5381,69697800,302541203.0,73459314340.6,56348728540.7,None
2016-07-18,'603993,¬е—фов“µ,4.39,4.43,4.38,4.4,4.4,-0.01,-0.2273,0.3167,41026856,180710528.0,74134802288.6,56866877768.6,None
2016-07-15,'603993,¬е—фов“µ,4.4,4.45,4.37,4.43,4.45,-0.05,-1.1236,0.5208,67457177,296559184.0,74303674275.6,56996415075.6,None
2016-07-14,'603993,XD¬е—фов,4.45,4.56,4.41,4.56,4.56,-0.11,-2.4123,0.7076,91654665,407911256.0,75148034210.6,57644101610.6,None
2016-07-13,'603993,¬е—фов“µ,4.58,4.66,4.52,4.58,4.57,0.01,0.2188,0.7393,95768088,439212512.0,77343370041.4,59328086601.4,None
2016-07-12,'603993,¬е—фов“µ,4.57,4.68,4.45,4.47,4.55,0.02,0.4396,0.9686,125464901,569771665.0,77174498054.4,59198549294.4,None
2016-07-11,'603993,¬е—фов“µ,4.55,4.73,4.46,4.49,4.52,0.03,0.6637,1.5014,194487930,896516818.0,76836754080.4,58939474680.4,None
2016-07-08,'603993,¬е—фов“µ,4.52,4.69,4.51,4.68,4.75,-0.23,-4.8421,1.283,166198069,759716725.0,76330138119.5,58550862759.5,None
2016-07-07,'603993,¬е—фов“µ,4.75,4.9,4.54,4.54,4.48,0.27,6.0268,2.8616,370681719,1763516501.0,80214193820.2,61530220820.2,None
2016-07-06,'603993,¬е—фов“µ,4.48,4.49,4.25,4.27,4.3,0.18,4.186,1.5682,203144086,890857077.0,75654650171.5,58032713531.5,None
2016-07-05,'603993,¬е—фов“µ,4.3,4.34,4.24,4.26,4.28,0.02,0.4673,0.7638,98944614,423990047.0,72614954405.7,55701042005.7,None
2016-07-04,'603993,¬е—фов“µ,4.28,4.36,4.12,4.12,4.15,0.13,3.1325,1.1736,152026325,652131216.0,72277210431.7,55441967391.7,None
2016-07-01,'603993,¬е—фов“µ,4.15,4.2,4.12,4.15,4.15,0.0,0.0,0.3707,48019453,199535128.0,70081874600.9,53757982400.8,None
2016-06-30,'603993,¬е—фов“µ,4.15,4.26,4.1,4.26,4.24,-0.09,-2.1226,0.6529,84572869,352799872.0,70081874600.9,53757982400.8,None
2016-06-29,'603993,¬е—фов“µ,4.24,4.3,4.16,4.22,4.2,0.04,0.9524,0.8572,111044497,469527702.0,71601722483.8,54923818163.8,None
2016-06-28,'603993,¬е—фов“µ,4.2,4.21,4.1,4.19,4.21,-0.01,-0.2375,0.6872,89018931,368956664.0,70926234535.8,54405668935.8,None
2016-06-27,'603993,¬е—фов“µ,4.21,4.23,4.07,4.08,4.14,0.07,1.6908,0.6887,89210785,371286699.0,71095106522.8,54535206242.8,None
2016-06-24,'603993,¬е—фов“µ,4.14,4.27,4.03,4.25,4.25,-0.11,-2.5882,0.9697,125609744,521395847.0,69913002613.9,53628445093.9,None
2016-06-23,'603993,¬е—фов“µ,4.25,4.38,4.2,4.32,4.36,-0.11,-2.5229,0.7767,100605218,428048006.0,71770594470.8,55053355470.8,None
2016-06-22,'603993,¬е—фов“µ,4.36,4.43,4.26,4.26,4.3,0.06,1.3953,0.5222,67650357,294775960.0,73628186327.6,56478265847.6,None
2016-06-21,'603993,¬е—фов“µ,4.3,4.48,4.24,4.42,4.43,-0.13,-2.9345,1.0163,131649920,573245680.0,72614954405.7,55701042005.7,None
2016-06-20,'603993,¬е—фов“µ,4.43,4.54,4.36,4.5,4.5,-0.07,-1.5556,0.7984,103418368,457915561.0,74810290236.6,57385026996.6,None
2016-06-17,'603993,¬е—фов“µ,4.5,4.74,4.46,4.68,4.64,-0.14,-3.0172,1.5171,196522114,898555319.0,75992394145.5,58291788145.5,None
2016-06-16,'603993,¬е—фов“µ,4.64,4.67,4.4,4.43,4.44,0.2,4.5045,2.3212,300678758,1377749443.0,78356601963.4,60105310443.4,None
2016-06-15,'603993,¬е—фов“µ,4.44,4.6,4.1,4.13,4.2,0.24,5.7143,1.5607,202167521,888719967.0,74979162223.6,57514564303.6,None
2016-06-14,'603993,¬е—фов“µ,4.2,4.35,4.1,4.22,4.24,-0.04,-0.9434,1.0264,132957916,562209450.0,70926234535.8,54405668935.8,None
2016-06-13,'603993,¬е—фов“µ,4.24,4.47,4.23,4.32,4.38,-0.14,-3.1963,1.302,168653058,738042858.0,71601722483.8,54923818163.8,None
2016-06-08,'603993,¬е—фов“µ,4.38,4.46,4.32,4.44,4.49,-0.11,-2.4499,1.2408,160725577,704826133.0,73965930301.6,56737340461.6,None
2016-06-07,'603993,¬е—фов“µ,4.49,4.65,4.4,4.46,4.46,0.03,0.6726,1.6748,216951450,983212435.0,75823522158.5,58162250838.5,None
2016-06-06,'603993,¬е—фов“µ,4.46,4.54,4.38,4.47,4.45,0.01,0.2247,1.2289,159192010,709165168.0,75316906197.5,57773638917.5,None
2016-06-03,'603993,¬е—фов“µ,4.45,4.55,4.33,4.5,4.53,-0.08,-1.766,1.8155,235173794,1043147176.0,75148034210.6,57644101610.6,None
2016-06-02,'603993,¬е—фов“µ,4.53,4.68,4.3,4.38,4.25,0.28,6.5882,3.4058,441174644,1975988683.0,76499010106.5,58680400066.5,None
2016-06-01,'603993,¬е—фов“µ,4.25,4.25,3.8,3.85,3.86,0.39,10.1036,1.8106,234541366,961830740.0,71770594470.8,55053355470.8,None
2016-05-31,'603993,¬е—фов“µ,3.86,3.87,3.69,3.72,3.69,0.17,4.607,1.3306,172361125,656779580.0,65184586978.1,50001400498.1,None
2016-05-30,'603993,¬е—фов“µ,3.69,3.84,3.66,3.7,3.84,-0.15,-3.9063,1.1472,148608377,553063074.0,62313763199.3,47799266279.3,None
