ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ,³É½»±ÊÊý
2016-10-12,'000552,¾¸Ô¶Ãºµç,3.83,3.85,3.79,3.83,3.86,-0.03,-0.7772,1.2239,19060831,72872871.38,8759099121.5,5964990320.58,4155
2016-10-11,'000552,¾¸Ô¶Ãºµç,3.86,3.86,3.82,3.85,3.84,0.02,0.5208,1.5591,24281581,93350297.77,8827708253.0,6011713482.36,4737
2016-10-10,'000552,¾¸Ô¶Ãºµç,3.84,3.9,3.8,3.87,3.8,0.04,1.0526,2.1656,33728419,129479826.05,8781968832.0,5980564707.84,7300
2016-09-30,'000552,¾¸Ô¶Ãºµç,3.8,3.8,3.7,3.72,3.73,0.07,1.8767,1.7797,27717930,104062720.5,8690489990.0,5918267158.8,6398
2016-09-29,'000552,¾¸Ô¶Ãºµç,3.73,3.81,3.71,3.71,3.67,0.06,1.6349,1.8565,28913207,108603829.64,8530402016.5,5809246447.98,7768
2016-09-28,'000552,¾¸Ô¶Ãºµç,3.67,3.7,3.65,3.67,3.66,0.01,0.2732,0.5988,9325232,34247028.84,8393183753.5,5715800124.42,2432
2016-09-27,'000552,¾¸Ô¶Ãºµç,3.66,3.66,3.6,3.65,3.65,0.01,0.274,0.7806,12157100,44198147.0,8370314043.0,5700225737.16,3245
2016-09-26,'000552,¾¸Ô¶Ãºµç,3.65,3.79,3.6,3.7,3.71,-0.06,-1.6173,1.782,27753215,103247262.86,8347444332.5,5684651349.9,6053
2016-09-23,'000552,¾¸Ô¶Ãºµç,3.71,3.73,3.68,3.69,3.69,0.02,0.542,0.7166,11160381,41399633.28,8484662595.5,5778097673.46,2392
2016-09-22,'000552,¾¸Ô¶Ãºµç,3.69,3.72,3.68,3.69,3.68,0.01,0.2717,0.8347,13000705,48114294.97,8438923174.5,5746948898.94,2893
2016-09-21,'000552,¾¸Ô¶Ãºµç,3.68,3.7,3.66,3.67,3.69,-0.01,-0.271,0.5603,8726636,32088766.08,8416053464.0,5731374511.68,2170
2016-09-20,'000552,¾¸Ô¶Ãºµç,3.69,3.7,3.64,3.66,3.66,0.03,0.8197,0.8591,13379218,49050743.77,8438923174.5,5746948898.94,3600
2016-09-19,'000552,¾¸Ô¶Ãºµç,3.66,3.66,3.6,3.6,3.6,0.06,1.6667,0.7066,11004866,40057107.36,8370314043.0,5700225737.16,2953
2016-09-14,'000552,¾¸Ô¶Ãºµç,3.6,3.62,3.59,3.61,3.63,-0.03,-0.8264,0.668,10403313,37483724.62,8233095780.0,5606779413.6,3152
2016-09-13,'000552,¾¸Ô¶Ãºµç,3.63,3.65,3.6,3.61,3.58,0.05,1.3966,0.7765,12093340,43863753.39,8301704911.5,5653502575.38,3707
2016-09-12,'000552,¾¸Ô¶Ãºµç,3.58,3.73,3.57,3.71,3.77,-0.19,-5.0398,2.1523,33520344,122157668.46,8187356359.0,5575630639.08,7789
2016-09-09,'000552,¾¸Ô¶Ãºµç,3.77,3.83,3.77,3.81,3.81,-0.04,-1.0499,1.1644,18134379,68994784.44,8621880858.5,5871543997.02,4045
2016-09-08,'000552,¾¸Ô¶Ãºµç,3.81,3.82,3.76,3.8,3.8,0.01,0.2632,0.9376,14603227,55361151.51,8713359700.5,5933841546.06,2911
2016-09-07,'000552,¾¸Ô¶Ãºµç,3.8,3.82,3.78,3.8,3.81,-0.01,-0.2625,1.3351,20792771,79003051.86,8690489990.0,5918267158.8,3524
2016-09-06,'000552,¾¸Ô¶Ãºµç,3.81,3.83,3.76,3.78,3.79,0.02,0.5277,1.0984,17106372,64979922.07,8713359700.5,5933841546.06,3678
2016-09-05,'000552,¾¸Ô¶Ãºµç,3.79,3.85,3.76,3.78,3.75,0.04,1.0667,1.5192,23661000,90053356.0,8667620279.5,5902692771.54,4611
2016-09-02,'000552,¾¸Ô¶Ãºµç,3.75,3.76,3.7,3.71,3.72,0.03,0.8065,0.8485,13214234,49382508.08,8576141437.5,5840395222.5,3402
2016-09-01,'000552,¾¸Ô¶Ãºµç,3.72,3.8,3.72,3.8,3.8,-0.08,-2.1053,1.3408,20881882,78387667.44,8507532306.0,5793672060.72,4693
2016-08-31,'000552,¾¸Ô¶Ãºµç,3.8,3.82,3.78,3.8,3.8,0.0,0.0,0.9694,15098504,57432704.88,8690489990.0,5918267158.8,2713
2016-08-30,'000552,¾¸Ô¶Ãºµç,3.8,3.82,3.76,3.78,3.78,0.02,0.5291,0.8164,12715065,48264696.71,8690489990.0,5918267158.8,2648
2016-08-29,'000552,¾¸Ô¶Ãºµç,3.78,3.79,3.75,3.78,3.77,0.01,0.2653,0.8459,13174880,49673151.89,8644750569.0,5887118384.28,2866
2016-08-26,'000552,¾¸Ô¶Ãºµç,3.77,3.82,3.76,3.78,3.78,-0.01,-0.2646,0.9764,15206158,57601676.44,8621880858.5,5871543997.02,3524
2016-08-25,'000552,¾¸Ô¶Ãºµç,3.78,3.83,3.76,3.8,3.82,-0.04,-1.0471,1.2312,19175637,72610364.07,8644750569.0,5887118384.28,4746
2016-08-24,'000552,¾¸Ô¶Ãºµç,3.82,3.87,3.81,3.86,3.85,-0.03,-0.7792,0.8411,13099066,50195495.5,8736229411.0,5949415933.32,3202
2016-08-23,'000552,¾¸Ô¶Ãºµç,3.85,3.86,3.8,3.83,3.85,0.0,0.0,1.1022,17166619,65794633.4,8804838542.5,5996139095.1,4199
2016-08-22,'000552,¾¸Ô¶Ãºµç,3.85,3.91,3.84,3.87,3.88,-0.03,-0.7732,1.2147,18918636,73350715.92,8804838542.5,5996139095.1,4650
2016-08-19,'000552,¾¸Ô¶Ãºµç,3.88,3.93,3.82,3.91,3.91,-0.03,-0.7673,1.8397,28652638,110687942.78,8873447674.0,6042862256.88,6979
2016-08-18,'000552,¾¸Ô¶Ãºµç,3.91,4.02,3.89,3.93,3.94,-0.03,-0.7614,2.3558,36690811,145211672.75,8942056805.5,6089585418.66,8963
