хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣,Ёи╫╩╠ййЩ
2016-10-12,'002024,кудЧтфил,11.07,11.14,11.02,11.09,11.12,-0.05,-0.4496,0.5327,27280141,301950029.81,1.03062138981e+11,56695017940.8,11807
2016-10-11,'002024,кудЧтфил,11.12,11.15,11.05,11.13,11.09,0.03,0.2705,0.6795,34800670,385954304.71,1.03527640964e+11,56951092999.3,15085
2016-10-10,'002024,кудЧтфил,11.09,11.18,10.88,10.91,10.84,0.25,2.3063,0.9075,46477951,513682267.94,1.03248339774e+11,56797447964.2,22299
2016-09-30,'002024,кудЧтфил,10.84,10.88,10.8,10.85,10.86,-0.02,-0.1842,0.3485,17846991,193599938.18,1.0092082986e+11,55517072672.0,7648
2016-09-29,'002024,кудЧтфил,10.86,10.94,10.83,10.83,10.84,0.02,0.1845,0.3976,20364597,221868977.43,1.01107030653e+11,55619502695.3,10919
2016-09-28,'002024,кудЧтфил,10.84,10.91,10.78,10.85,10.83,0.01,0.0923,0.3241,16597701,179922218.84,1.0092082986e+11,55517072672.0,8063
2016-09-27,'002024,кудЧтфил,10.83,10.88,10.63,10.66,10.67,0.16,1.4995,0.5181,26536316,285071211.36,1.00827729464e+11,55465857660.3,12603
2016-09-26,'002024,кудЧтфил,10.67,10.92,10.67,10.88,10.92,-0.25,-2.2894,0.6093,31203638,336241043.02,99338123118.9,54646417473.2,15797
2016-09-23,'002024,кудЧтфил,10.92,11.1,10.89,10.94,10.92,0.0,0.0,0.6494,33257236,365093419.83,1.01665633033e+11,55926792765.5,13522
2016-09-22,'002024,кудЧтфил,10.92,10.97,10.86,10.92,10.84,0.08,0.738,0.5825,29832563,325739024.67,1.01665633033e+11,55926792765.5,11838
2016-09-21,'002024,кудЧтфил,10.84,10.98,10.8,10.85,10.82,0.02,0.1848,0.6287,32200696,350640757.59,1.0092082986e+11,55517072672.0,11903
2016-09-20,'002024,кудЧтфил,10.82,10.87,10.79,10.85,10.83,-0.01,-0.0923,0.283,14493388,156899985.78,1.00734629067e+11,55414642648.6,7433
2016-09-19,'002024,кудЧтфил,10.83,10.91,10.76,10.76,10.75,0.08,0.7442,0.5236,26817959,290917414.9,1.00827729464e+11,55465857660.3,10509
2016-09-14,'002024,кудЧтфил,10.75,10.84,10.68,10.69,10.76,-0.01,-0.0929,0.4445,22764836,244893223.85,1.00082926291e+11,55056137566.8,9751
2016-09-13,'002024,кудЧтфил,10.76,10.8,10.69,10.77,10.7,0.06,0.5607,0.6061,31041112,333437614.78,1.00176026688e+11,55107352578.4,12924
2016-09-12,'002024,кудЧтфил,10.7,11.0,10.63,10.96,11.11,-0.41,-3.6904,1.5937,81620098,881509324.52,99617424308.5,54800062508.3,38530
2016-09-09,'002024,кудЧтфил,11.11,11.27,11.11,11.25,11.25,-0.14,-1.2444,0.7006,35882822,400958004.13,1.03434540567e+11,56899877987.6,14520
2016-09-08,'002024,кудЧтфил,11.25,11.35,11.2,11.27,11.28,-0.03,-0.266,0.642,32881921,369918904.67,1.04737946119e+11,57616888151.2,13483
2016-09-07,'002024,кудЧтфил,11.28,11.45,11.14,11.19,11.13,0.15,1.3477,1.6181,82868567,936713437.74,1.05017247308e+11,57770533186.3,36090
2016-09-06,'002024,кудЧтфил,11.13,11.15,10.94,11.09,11.11,0.02,0.18,0.721,36927872,407899147.16,1.0362074136e+11,57002308011.0,15374
2016-09-05,'002024,кудЧтфил,11.11,11.19,11.06,11.13,11.12,-0.01,-0.0899,0.5604,28702104,319441117.44,1.03434540567e+11,56899877987.6,11711
2016-09-02,'002024,кудЧтфил,11.12,11.13,11.01,11.01,11.04,0.08,0.7246,0.594,30419508,337418060.59,1.03527640964e+11,56951092999.3,14214
2016-09-01,'002024,кудЧтфил,11.04,11.12,11.0,11.08,11.1,-0.06,-0.5405,0.4862,24903285,275489943.51,1.02782837791e+11,56541372905.8,11155
2016-08-31,'002024,кудЧтфил,11.1,11.11,10.95,11.05,11.07,0.03,0.271,0.5838,29899077,329637018.52,1.0334144017e+11,56848662975.9,12604
2016-08-30,'002024,кудЧтфил,11.07,11.12,11.03,11.08,11.07,0.0,0.0,0.3944,20201585,223679863.9,1.03062138981e+11,56695017940.8,9947
2016-08-29,'002024,кудЧтфил,11.07,11.14,10.95,11.02,11.02,0.05,0.4537,0.4958,25391221,281061598.41,1.03062138981e+11,56695017940.8,11508
