ИХЖЪ,№ЙЖ±ґъВл,ГыіЖ,КХЕМјЫ,ЧоёЯјЫ,ЧоµНјЫ,їЄЕМјЫ,З°КХЕМ,ХЗµш¶о,ХЗµш·щ,»»КЦВК,іЙЅ»Бї,іЙЅ»Ѕр¶о,ЧЬКРЦµ,БчНЁКРЦµ,іЙЅ»±ККэ
2016-10-12,'002081,Ѕр у« тл,11.8,12.31,11.69,12.04,12.09,-0.29,-2.3987,1.4696,38846868,462431216.06,31191042530.2,31191042530.2,23241
2016-10-11,'002081,Ѕр у« тл,12.09,12.3,11.98,11.99,12.05,0.04,0.332,1.5193,40158547,486406737.87,31957602050.0,31957602050.0,17720
2016-10-10,'002081,Ѕр у« тл,12.05,12.08,11.88,11.91,12.04,0.01,0.0831,1.9134,50576184,604527414.02,31851869702.5,31851869702.5,19309
2016-09-30,'002081,Ѕр у« тл,12.04,12.19,11.82,12.01,12.09,-0.05,-0.4136,1.2291,32488469,389476062.85,31825436615.6,31825436615.6,15377
2016-09-29,'002081,Ѕр у« тл,12.09,12.51,12.03,12.2,12.25,-0.16,-1.3061,1.5551,41105634,504164410.39,31957602050.0,31957602050.0,19270
2016-09-28,'002081,Ѕр у« тл,12.25,12.44,12.21,12.33,12.35,-0.1,-0.8097,0.9033,23878258,295034552.11,32380531440.2,32380531440.2,12131
2016-09-27,'002081,Ѕр у« тл,12.35,12.4,12.19,12.21,12.26,0.09,0.7341,1.0735,28375572,349184296.16,32644862309.2,32644862309.2,11973
2016-09-26,'002081,Ѕр у« тл,12.26,12.79,12.25,12.73,12.72,-0.46,-3.6164,1.6005,42306586,525316633.92,32406964527.1,32406964527.1,19630
2016-09-23,'002081,Ѕр у« тл,12.72,12.95,12.54,12.7,12.82,-0.1,-0.78,1.8029,47656246,608898649.21,33622886524.1,33622886524.1,22459
2016-09-22,'002081,Ѕр у« тл,12.82,12.84,12.5,12.64,12.6,0.22,1.746,2.1405,56578943,718693260.9,33887217393.0,33887217393.0,27699
2016-09-21,'002081,Ѕр у« тл,12.6,12.76,12.23,12.26,12.23,0.37,3.0253,2.5786,68160384,850746562.9,33305689481.4,33305689481.4,32426
2016-09-20,'002081,Ѕр у« тл,12.23,12.57,11.76,11.79,11.81,0.42,3.5563,2.49,65817574,803120626.87,32327665266.5,32327665266.5,32176
2016-09-19,'002081,Ѕр у« тл,11.81,11.83,11.61,11.76,11.71,0.1,0.854,0.6952,18376616,216025412.95,31217475617.1,31217475617.1,9777
2016-09-14,'002081,Ѕр у« тл,11.71,11.94,11.6,11.94,12.04,-0.33,-2.7409,1.311,34653861,406274487.35,30953144748.2,30953144748.2,16255
2016-09-13,'002081,Ѕр у« тл,12.04,12.29,11.87,11.87,11.85,0.19,1.6034,2.434,64338537,776809120.63,31825436615.6,31825436615.6,26517
2016-09-12,'002081,Ѕр у« тл,11.85,12.13,11.8,11.88,12.07,-0.22,-1.8227,1.8476,48837153,581505281.26,31323207964.7,31323207964.7,21350
