日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2016-10-12,'002319,乐通股份,23.88,23.9,23.16,23.7,23.9,-0.02,-0.0837,9.2851,18570121,438119421.19,4776000000.0,4776000000.0,18871
2016-10-11,'002319,乐通股份,23.9,24.65,22.7,22.8,23.0,0.9,3.913,16.4238,32847596,780650799.74,4780000000.0,4780000000.0,30135
2016-10-10,'002319,乐通股份,23.0,23.28,22.03,22.88,22.7,0.3,1.3216,8.7546,17509259,396487441.04,4600000000.0,4600000000.0,15694
2016-09-30,'002319,乐通股份,22.7,23.27,22.43,22.55,22.55,0.15,0.6652,9.6144,19228863,439871949.22,4540000000.0,4540000000.0,18994
2016-09-29,'002319,乐通股份,22.55,23.18,21.83,22.1,22.2,0.35,1.5766,9.1559,18311702,413977670.79,4510000000.0,4510000000.0,17875
2016-09-28,'002319,乐通股份,22.2,22.48,21.56,21.78,21.81,0.39,1.7882,6.8384,13676855,302883700.34,4440000000.0,4440000000.0,12982
2016-09-27,'002319,乐通股份,21.81,22.03,20.96,21.65,21.84,-0.03,-0.1374,7.3711,14742101,317254526.47,4362000000.0,4362000000.0,13998
2016-09-26,'002319,乐通股份,21.84,23.47,21.78,22.81,23.25,-1.41,-6.0645,11.6388,23277697,525162087.75,4368000000.0,4368000000.0,22591
2016-09-23,'002319,乐通股份,23.25,23.66,21.68,21.96,22.0,1.25,5.6818,14.7225,29444912,665301874.36,4650000000.0,4650000000.0,27854
2016-09-22,'002319,乐通股份,22.0,22.45,21.5,21.65,21.36,0.64,2.9963,10.7546,21509293,471046770.1,4400000000.0,4400000000.0,19476
2016-09-21,'002319,乐通股份,21.36,22.8,21.3,22.5,22.73,-1.37,-6.0273,11.7378,23475545,518820547.17,4272000000.0,4272000000.0,22647
2016-09-20,'002319,乐通股份,22.73,22.79,21.89,22.3,22.47,0.26,1.1571,9.7518,19503538,437811606.38,4546000000.0,4546000000.0,18932
2016-09-19,'002319,乐通股份,22.47,22.7,21.76,22.23,22.6,-0.13,-0.5752,10.5598,21119506,469195361.46,4494000000.0,4494000000.0,21123
2016-09-14,'002319,乐通股份,22.6,24.25,22.6,24.02,25.11,-2.51,-9.996,20.5508,41101618,947232653.61,4520000000.0,4520000000.0,38634
2016-09-13,'002319,乐通股份,25.11,25.37,23.03,23.3,23.15,1.96,8.4665,26.6594,53318737,1287693933.42,5022000000.0,5022000000.0,46649
2016-09-12,'002319,乐通股份,23.15,23.4,21.66,21.71,22.95,0.2,0.8715,17.4277,34855470,783758233.57,4630000000.0,4630000000.0,29465
2016-09-09,'002319,乐通股份,22.95,24.8,22.66,22.96,22.55,0.4,1.7738,25.9545,51908959,1223006978.27,4590000000.0,4590000000.0,42523
2016-09-08,'002319,乐通股份,22.55,22.6,21.5,22.0,22.88,-0.33,-1.4423,20.3171,40634172,896996711.92,4510000000.0,4510000000.0,31709
2016-09-07,'002319,乐通股份,22.88,23.4,21.14,21.8,21.27,1.61,7.5693,30.8726,61745277,1377746665.15,4576000000.0,4576000000.0,46943
2016-09-06,'002319,乐通股份,21.27,22.58,20.95,21.9,20.91,0.36,1.7217,29.3231,58646159,1267391791.46,4254000000.0,4254000000.0,43046
2016-09-05,'002319,乐通股份,20.91,20.91,20.91,20.91,19.01,1.9,9.9947,0.3266,653283,13660147.53,4182000000.0,4182000000.0,352
2016-09-02,'002319,乐通股份,19.01,19.01,19.01,19.01,17.28,1.73,10.0116,0.2822,564426,10729738.26,3802000000.0,3802000000.0,392
2016-09-01,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-31,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-30,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-29,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-26,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-25,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-24,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-23,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-22,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-19,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-18,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-17,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-16,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-15,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-12,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-11,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
2016-08-10,'002319,乐通股份,0.0,0.0,0.0,0.0,17.28,None,None,0.0,0,0.0,3456000000.0,3456000000.0,0
