ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต,ณษฝปฑสสý
2016-10-12,'002623,ัวย๊ถู,38.18,38.66,37.6,37.77,38.02,0.16,0.4208,1.9223,3075611,117368591.33,6108800000.0,6108800000.0,4493
2016-10-11,'002623,ัวย๊ถู,38.02,38.5,37.86,38.24,38.25,-0.23,-0.6013,1.8696,2991325,114004932.5,6083200000.0,6083200000.0,4529
2016-10-10,'002623,ัวย๊ถู,38.25,38.85,37.62,37.92,37.92,0.33,0.8703,2.5673,4107716,157367572.25,6120000000.0,6120000000.0,6149
2016-09-30,'002623,ัวย๊ถู,37.92,38.12,36.86,37.06,37.2,0.72,1.9355,1.8574,2971869,112291645.06,6067200000.0,6067200000.0,5358
2016-09-29,'002623,ัวย๊ถู,37.2,37.69,36.9,37.58,37.53,-0.33,-0.8793,1.3713,2194032,81736172.97,5952000000.0,5952000000.0,3898
2016-09-28,'002623,ัวย๊ถู,37.53,38.38,37.22,37.38,37.54,-0.01,-0.0266,1.8684,2989367,113069588.94,6004800000.0,6004800000.0,5115
2016-09-27,'002623,ัวย๊ถู,37.54,37.59,36.27,37.3,37.06,0.48,1.2952,2.2211,3553747,130830653.58,6006400000.0,6006400000.0,5572
2016-09-26,'002623,ัวย๊ถู,37.06,38.58,37.02,37.7,38.28,-1.22,-3.187,2.8503,4560410,171846178.61,5929600000.0,5929600000.0,7552
2016-09-23,'002623,ัวย๊ถู,38.28,39.25,36.2,36.2,36.39,1.89,5.1937,4.1713,6674119,250735583.19,6124800000.0,6124800000.0,10318
2016-09-22,'002623,ัวย๊ถู,36.39,37.27,36.2,36.25,35.95,0.44,1.2239,2.7856,4456955,163542935.18,5822400000.0,5822400000.0,7388
2016-09-21,'002623,ัวย๊ถู,35.95,36.45,35.72,35.98,35.93,0.02,0.0557,1.594,2550326,92027529.29,5752000000.0,5752000000.0,4257
2016-09-20,'002623,ัวย๊ถู,35.93,36.2,35.5,35.7,35.58,0.35,0.9837,2.2931,3668921,131868175.34,5748800000.0,5748800000.0,5618
2016-09-19,'002623,ัวย๊ถู,35.58,35.98,34.08,34.08,34.04,1.54,4.5241,2.0665,3306454,116972117.74,5692800000.0,5692800000.0,4945
2016-09-14,'002623,ัวย๊ถู,34.04,34.4,33.73,33.88,34.0,0.04,0.1176,0.747,1195257,40812474.44,5446400000.0,5446400000.0,1898
2016-09-13,'002623,ัวย๊ถู,34.0,34.48,33.69,34.3,34.04,-0.04,-0.1175,0.8795,1407176,47802982.13,5440000000.0,5440000000.0,2378
