»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ,≥…Ωª±  ˝
2016-10-12,'300147,œ„—©÷∆“©,14.14,14.19,14.07,14.12,14.14,0.0,0.0,0.725,4795682,67810919.24,9353275376.9,9353275376.9,2938
2016-10-11,'300147,œ„—©÷∆“©,14.14,14.22,14.07,14.16,14.22,-0.08,-0.5626,1.1925,7888028,111490754.39,9353275376.9,9353275376.9,5038
2016-10-10,'300147,œ„—©÷∆“©,14.22,14.29,14.1,14.11,13.81,0.41,2.9689,1.8043,11934972,169552818.37,9406193483.7,9406193483.7,7542
2016-09-30,'300147,œ„—©÷∆“©,13.81,13.88,13.78,13.82,13.82,-0.01,-0.0724,0.4392,2905281,40197283.34,9134988186.35,9134988186.35,2173
2016-09-29,'300147,œ„—©÷∆“©,13.82,13.93,13.81,13.82,13.87,-0.05,-0.3605,0.512,3387042,46956920.84,9141602949.7,9141602949.7,2343
2016-09-28,'300147,œ„—©÷∆“©,13.87,13.9,13.74,13.87,13.83,0.04,0.2892,0.66,4365849,60297792.34,9174676766.45,9174676766.45,2408
2016-09-27,'300147,œ„—©÷∆“©,13.83,13.86,13.7,13.78,13.77,0.06,0.4357,0.6514,4309100,59381121.83,9148217713.05,9148217713.05,2568
2016-09-26,'300147,œ„—©÷∆“©,13.77,14.03,13.75,13.98,14.03,-0.26,-1.8532,0.9784,6471832,89794265.02,9108529132.95,9108529132.95,4017
2016-09-23,'300147,œ„—©÷∆“©,14.03,14.1,13.94,14.03,14.0,0.03,0.2143,0.7343,4856904,67936157.84,9280512980.05,9280512980.05,2405
2016-09-22,'300147,œ„—©÷∆“©,14.0,14.1,13.98,14.04,14.0,0.0,0.0,0.6997,4628566,65002897.74,9260668690.0,9260668690.0,2794
2016-09-21,'300147,œ„—©÷∆“©,14.0,14.08,13.92,13.98,13.92,0.08,0.5747,0.4995,3304376,46251322.58,9260668690.0,9260668690.0,2104
2016-09-20,'300147,œ„—©÷∆“©,13.92,14.08,13.9,14.05,14.05,-0.13,-0.9253,0.57,3770720,52621856.75,9207750583.2,9207750583.2,2417
2016-09-19,'300147,œ„—©÷∆“©,14.05,14.1,13.96,14.02,13.97,0.08,0.5727,0.6411,4240899,59471591.71,9293742506.75,9293742506.75,2447
2016-09-14,'300147,œ„—©÷∆“©,13.97,14.05,13.84,14.0,13.94,0.03,0.2152,0.7386,4885551,68106879.92,9240824399.95,9240824399.95,3121
2016-09-13,'300147,œ„—©÷∆“©,13.94,14.01,13.86,13.99,13.89,0.05,0.36,0.6424,4249207,59188038.4,9220980109.9,9220980109.9,2550
2016-09-12,'300147,œ„—©÷∆“©,13.89,14.18,13.84,14.06,14.35,-0.46,-3.2056,1.2593,8329938,117087242.59,9187906293.15,9187906293.15,5567
2016-09-09,'300147,œ„—©÷∆“©,14.35,14.6,14.3,14.49,14.5,-0.15,-1.0345,1.3652,9030250,130273366.02,9492185407.25,9492185407.25,5184
2016-09-08,'300147,œ„—©÷∆“©,14.5,14.61,14.31,14.39,14.41,0.09,0.6246,1.6468,10893096,157710411.75,9591406857.5,9591406857.5,6372
2016-09-07,'300147,œ„—©÷∆“©,14.41,14.44,14.23,14.27,14.3,0.11,0.7692,1.388,9181583,131391086.23,9531873987.35,9531873987.35,5371
2016-09-06,'300147,œ„—©÷∆“©,14.3,14.32,13.91,14.12,14.11,0.19,1.3466,1.2831,8487491,119982942.73,9459111590.5,9459111590.5,5324
2016-09-05,'300147,œ„—©÷∆“©,14.11,14.23,14.06,14.16,14.13,-0.02,-0.1415,0.6107,4039869,57206085.0,9333431086.85,9333431086.85,2480
2016-09-02,'300147,œ„—©÷∆“©,14.13,14.22,14.08,14.13,14.16,-0.03,-0.2119,0.8052,5326537,75344813.08,9346660613.55,9346660613.55,3597
2016-09-01,'300147,œ„—©÷∆“©,14.16,14.28,14.15,14.2,14.24,-0.08,-0.5618,0.7921,5239791,74451839.28,9366504903.6,9366504903.6,2899
2016-08-31,'300147,œ„—©÷∆“©,14.24,14.29,14.09,14.25,14.25,-0.01,-0.0702,0.8877,5871923,83232260.93,9419423010.4,9419423010.4,4294
2016-08-30,'300147,œ„—©÷∆“©,14.25,14.44,14.21,14.3,14.3,-0.05,-0.3497,1.2154,8039586,114943927.87,9426037773.75,9426037773.75,4020
2016-08-29,'300147,œ„—©÷∆“©,14.3,14.45,14.25,14.38,14.47,-0.17,-1.1748,1.4547,9622805,138032798.15,9459111590.5,9459111590.5,6015
2016-08-26,'300147,œ„—©÷∆“©,14.47,14.7,14.06,14.06,14.08,0.39,2.7699,2.6783,17716432,256299190.75,9571562567.45,9571562567.45,10675
2016-08-25,'300147,œ„—©÷∆“©,14.08,14.19,13.95,14.15,14.27,-0.19,-1.3315,1.1447,7572163,106510978.44,9313586796.8,9313586796.8,4862
2016-08-24,'300147,œ„—©÷∆“©,14.27,14.43,14.2,14.22,14.21,0.06,0.4222,1.1365,7517475,107552777.7,9439267300.45,9439267300.45,4297
2016-08-23,'300147,œ„—©÷∆“©,14.21,14.28,14.09,14.19,14.17,0.04,0.2823,1.039,6873043,97590452.92,9399578720.35,9399578720.35,3998
2016-08-22,'300147,œ„—©÷∆“©,14.17,14.43,14.15,14.28,14.27,-0.1,-0.7008,1.193,7891695,112644973.6,9373119666.95,9373119666.95,4566
2016-08-19,'300147,œ„—©÷∆“©,14.27,14.36,14.15,14.22,14.22,0.05,0.3516,1.0223,6762271,96335382.36,9439267300.45,9439267300.45,3648
2016-08-18,'300147,œ„—©÷∆“©,14.22,14.32,14.17,14.31,14.3,-0.08,-0.5594,1.0112,6689027,95201867.25,9406193483.7,9406193483.7,4185
2016-08-17,'300147,œ„—©÷∆“©,14.3,14.39,14.14,14.25,14.24,0.06,0.4213,1.2334,8158337,116314643.13,9459111590.5,9459111590.5,4938
2016-08-16,'300147,œ„—©÷∆“©,14.24,14.35,14.17,14.27,14.22,0.02,0.1406,1.2496,8265656,117711326.72,9419423010.4,9419423010.4,5406
2016-08-15,'300147,œ„—©÷∆“©,14.22,14.27,13.85,13.89,13.92,0.3,2.1552,1.7663,11683782,164871641.57,9406193483.7,9406193483.7,7260
2016-08-12,'300147,œ„—©÷∆“©,13.92,13.93,13.72,13.77,13.72,0.2,1.4577,1.0203,6749236,93151352.36,9207750583.2,9207750583.2,3909
2016-08-11,'300147,œ„—©÷∆“©,13.72,13.98,13.7,13.91,13.97,-0.25,-1.7895,1.0112,6688872,92375610.04,9075455316.2,9075455316.2,4112
2016-08-10,'300147,œ„—©÷∆“©,13.97,14.14,13.94,14.09,14.08,-0.11,-0.7813,0.8319,5502986,77106699.25,9240824399.95,9240824399.95,4108
2016-08-09,'300147,œ„—©÷∆“©,14.08,14.08,13.9,13.95,13.94,0.14,1.0043,1.1575,7656604,107033757.51,9313586796.8,9313586796.8,4143
2016-08-08,'300147,œ„—©÷∆“©,13.94,13.94,13.69,13.8,13.83,0.11,0.7954,0.9544,6313460,87431575.2,9220980109.9,9220980109.9,3340
2016-08-05,'300147,œ„—©÷∆“©,13.83,13.97,13.8,13.96,13.95,-0.12,-0.8602,0.7215,4772494,66134479.72,9148217713.05,9148217713.05,3125
2016-08-04,'300147,œ„—©÷∆“©,13.95,13.98,13.82,13.93,13.93,0.02,0.1436,0.6647,4396865,61130120.46,9227594873.25,9227594873.25,2826
2016-08-03,'300147,œ„—©÷∆“©,13.93,14.03,13.88,13.96,13.98,-0.05,-0.3577,0.7459,4934182,68790552.13,9214365346.55,9214365346.55,3059
2016-08-02,'300147,œ„—©÷∆“©,13.98,14.0,13.83,13.83,13.89,0.09,0.6479,0.7281,4816062,67055676.88,9247439163.3,9247439163.3,3202
2016-08-01,'300147,œ„—©÷∆“©,13.89,13.97,13.68,13.9,13.92,-0.03,-0.2155,0.9386,6208289,85624332.33,9187906293.15,9187906293.15,4600
2016-07-29,'300147,œ„—©÷∆“©,13.92,14.1,13.86,13.93,13.99,-0.07,-0.5004,0.9939,6574498,91957582.16,9207750583.2,9207750583.2,4266
2016-07-28,'300147,œ„—©÷∆“©,13.99,14.27,13.84,14.2,14.2,-0.21,-1.4789,1.4367,9503455,133532753.43,9254053926.65,9254053926.65,6822
