日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2016-10-12,'600184,光电股份,22.3,22.52,22.17,22.33,22.52,-0.22,-0.9769,0.4143,1735037,38679064.0,11345366419.8,9338366419.8,None
2016-10-11,'600184,光电股份,22.52,22.6,22.24,22.48,22.34,0.18,0.8057,0.369,1545213,34683054.0,11457293801.5,9430493801.52,None
2016-10-10,'600184,光电股份,22.34,22.48,21.99,21.99,22.01,0.33,1.4993,0.4132,1730399,38487960.0,11365716852.8,9355116852.84,None
2016-09-30,'600184,光电股份,22.01,22.1,21.8,21.95,21.89,0.12,0.5482,0.236,988426,21669911.0,11197825780.3,9216925780.26,None
2016-09-29,'600184,光电股份,21.89,22.0,21.8,21.97,21.98,-0.09,-0.4095,0.2175,910994,19957525.0,11136774481.1,9166674481.14,None
2016-09-28,'600184,光电股份,21.98,22.1,21.61,21.8,21.69,0.29,1.337,0.3766,1577009,34471931.0,11182562955.5,9204362955.48,None
2016-09-27,'600184,光电股份,21.69,21.7,21.5,21.5,21.59,0.1,0.4632,0.216,904511,19532581.0,11035022315.9,9082922315.94,None
2016-09-26,'600184,光电股份,21.59,21.83,21.58,21.66,21.67,-0.08,-0.3692,0.2858,1196832,25972003.0,10984146233.3,9041046233.34,None
2016-09-23,'600184,光电股份,21.67,21.97,21.62,21.79,21.79,-0.12,-0.5507,0.1929,807695,17513878.0,11024847099.4,9074547099.42,None
2016-09-22,'600184,光电股份,21.79,22.16,21.75,21.88,21.84,-0.05,-0.2289,0.3815,1597385,35015084.0,11085898398.5,9124798398.54,None
2016-09-21,'600184,光电股份,21.84,21.96,21.7,21.8,21.79,0.05,0.2295,0.2181,913515,19926991.0,11111336439.8,9145736439.84,None
2016-09-20,'600184,光电股份,21.79,22.05,21.72,22.0,21.87,-0.08,-0.3658,0.1817,760807,16611697.0,11085898398.5,9124798398.54,None
2016-09-19,'600184,光电股份,21.87,22.13,21.58,21.58,21.56,0.31,1.4378,0.3088,1292936,28296149.0,11126599264.6,9158299264.62,None
2016-09-14,'600184,光电股份,21.56,21.81,21.5,21.5,21.67,-0.11,-0.5076,0.2889,1209846,26190856.0,10968883408.6,9028483408.56,None
2016-09-13,'600184,光电股份,21.67,21.94,21.64,21.85,21.71,-0.04,-0.1842,0.2643,1106648,24047191.0,11024847099.4,9074547099.42,None
2016-09-12,'600184,光电股份,21.71,22.1,21.52,21.53,22.39,-0.68,-3.0371,0.4246,1777938,38838922.0,11045197532.5,9091297532.46,None
2016-09-09,'600184,光电股份,22.39,22.62,22.36,22.54,22.41,-0.02,-0.0892,0.369,1545127,34732497.0,11391154894.1,9376054894.14,None
2016-09-08,'600184,光电股份,22.41,22.88,22.32,22.88,22.66,-0.25,-1.1033,0.4817,2017065,45461803.0,11401330110.7,9384430110.66,None
2016-09-07,'600184,光电股份,22.66,22.86,22.45,22.45,22.53,0.13,0.577,0.5871,2458440,55757153.0,11528520317.2,9489120317.16,None
2016-09-06,'600184,光电股份,22.53,22.6,21.88,22.48,22.4,0.13,0.5804,0.4528,1896342,42298235.0,11462381409.8,9434681409.78,None
2016-09-05,'600184,光电股份,22.4,22.5,22.32,22.32,22.35,0.05,0.2237,0.2997,1255011,28119367.0,11396242502.4,9380242502.4,None
2016-09-02,'600184,光电股份,22.35,22.85,22.13,22.85,22.49,-0.14,-0.6225,0.389,1629058,36451638.0,11370804461.1,9359304461.1,None
2016-09-01,'600184,光电股份,22.49,23.16,22.45,22.99,22.95,-0.46,-2.0044,0.6519,2729807,62072942.0,11442030976.7,9417930976.74,None
2016-08-31,'600184,光电股份,22.95,23.38,22.82,23.0,23.2,-0.25,-1.0776,0.9576,4009998,92727281.0,11676060956.7,9610560956.7,None
2016-08-30,'600184,光电股份,23.2,23.5,22.65,22.7,22.93,0.27,1.1775,1.2458,5216989,121006216.0,11803251163.2,9715251163.2,None
2016-08-29,'600184,光电股份,22.93,23.39,22.35,22.51,23.1,-0.17,-0.7359,1.4224,5956431,135376292.0,11665885740.2,9602185740.18,None
2016-08-26,'600184,光电股份,23.1,23.5,21.56,21.65,21.64,1.46,6.7468,1.1414,4779574,107068072.0,11752375080.6,9673375080.6,None
2016-08-25,'600184,光电股份,21.64,22.09,21.5,22.01,22.11,-0.47,-2.1257,0.3802,1591988,34475279.0,11009584274.6,9061984274.64,None
2016-08-24,'600184,光电股份,22.11,22.35,21.78,21.9,21.84,0.27,1.2363,0.4641,1943627,43000738.0,11248701862.9,9258801862.86,None
2016-08-23,'600184,光电股份,21.84,22.0,21.72,22.0,21.88,-0.04,-0.1828,0.2528,1058793,23149147.0,11111336439.8,9145736439.84,None
2016-08-22,'600184,光电股份,21.88,22.24,21.83,22.07,22.07,-0.19,-0.8609,0.3421,1432516,31632012.0,11131686872.9,9162486872.88,None
2016-08-19,'600184,光电股份,22.07,22.19,21.94,22.19,22.24,-0.17,-0.7644,0.5397,2259851,49812925.0,11228351429.8,9242051429.82,None
2016-08-18,'600184,光电股份,22.24,22.34,22.03,22.2,22.31,-0.07,-0.3138,0.4736,1983062,43945307.0,11314840770.2,9313240770.24,None
2016-08-17,'600184,光电股份,22.31,22.66,22.01,22.21,22.21,0.1,0.4502,0.7501,3141002,70154176.0,11350454028.1,9342554028.06,None
2016-08-16,'600184,光电股份,22.21,22.25,21.9,22.13,22.13,0.08,0.3615,0.8699,3642633,80417017.0,11299577945.5,9300677945.46,None
2016-08-15,'600184,光电股份,22.13,22.18,21.51,21.65,21.64,0.49,2.2643,0.9121,3819445,83821858.0,11258877079.4,9267177079.38,None
2016-08-12,'600184,光电股份,21.64,21.67,21.4,21.45,21.51,0.13,0.6044,0.4114,1722896,37080310.0,11009584274.6,9061984274.64,None
2016-08-11,'600184,光电股份,21.51,22.13,21.49,21.82,21.96,-0.45,-2.0492,0.4386,1836556,39774856.0,10943445367.3,9007545367.26,None
2016-08-10,'600184,光电股份,21.96,22.32,21.9,22.1,22.07,-0.11,-0.4984,0.3529,1477983,32615832.0,11172387739.0,9195987738.96,None
