ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ,³É½»±ÊÊý
2016-10-12,'600346,*STÏðËÜ,7.39,7.44,7.37,7.38,7.38,0.01,0.1355,0.458,3058404,22600176.0,20881826501.4,4934944762.38,None
2016-10-11,'600346,*STÏðËÜ,7.38,7.44,7.36,7.44,7.4,-0.02,-0.2703,0.4542,3033240,22405761.0,20853569632.0,4928266893.96,None
2016-10-10,'600346,*STÏðËÜ,7.4,7.49,7.35,7.39,7.39,0.01,0.1353,0.5947,3971580,29447511.0,20910083370.8,4941622630.8,None
2016-09-30,'600346,*STÏðËÜ,7.39,7.4,7.21,7.25,7.25,0.14,1.931,0.6086,4064407,29869860.0,20881826501.4,4934944762.38,None
2016-09-29,'600346,*STÏðËÜ,7.25,7.34,7.19,7.19,7.2,0.05,0.6944,0.6023,4022045,29295106.0,20486230329.5,4841454604.5,None
2016-09-28,'600346,*STÏðËÜ,7.2,7.2,7.06,7.12,7.13,0.07,0.9818,0.459,3065280,21969559.0,20344945982.4,4808065262.4,None
2016-09-27,'600346,*STÏðËÜ,7.13,7.19,6.91,7.15,7.15,-0.02,-0.2797,1.1589,7739143,54623148.0,20147147896.5,4761320183.46,None
2016-09-26,'600346,*STÏðËÜ,7.15,7.57,7.15,7.57,7.53,-0.38,-5.0465,1.9825,13238695,96227953.0,20203661635.3,4774675920.3,None
2016-09-23,'600346,*STÏðËÜ,7.53,7.6,7.52,7.54,7.55,-0.02,-0.2649,0.5137,3430165,25910255.0,21277422673.3,5028434920.26,None
2016-09-22,'600346,*STÏðËÜ,7.55,7.68,7.54,7.63,7.62,-0.07,-0.9186,0.7694,5137660,39087956.0,21333936412.1,5041790657.1,None
2016-09-21,'600346,*STÏðËÜ,7.62,7.65,7.55,7.6,7.58,0.04,0.5277,0.6012,4014403,30535798.0,21531734498.0,5088535736.04,None
2016-09-20,'600346,*STÏðËÜ,7.58,7.67,7.55,7.59,7.6,-0.02,-0.2632,0.4339,2897513,21970905.0,21418707020.4,5061824262.36,None
