晩豚,紘同旗鷹,兆各,辺徒勺,恷互勺,恷詰勺,蝕徒勺,念辺徒,嫻鋸駆,嫻鋸嫌,算返楕,撹住楚,撹住署駆,悳偏峙,送宥偏峙,撹住永方
2016-10-12,'600401,今非高懸,2.37,2.38,2.31,2.32,2.33,0.04,1.7167,2.6918,127186210,298916787.0,11198096310.2,11198096310.2,None
2016-10-11,'600401,今非高懸,2.33,2.33,2.31,2.33,2.33,0.0,0.0,1.067,50417089,117095321.0,11009098904.2,11009098904.2,None
2016-10-10,'600401,今非高懸,2.33,2.35,2.29,2.3,2.3,0.03,1.3043,1.8143,85725178,198853954.0,11009098904.2,11009098904.2,None
2016-09-30,'600401,今非高懸,2.3,2.3,2.28,2.29,2.29,0.01,0.4367,0.7057,33344320,76235283.0,10867350849.6,10867350849.6,None
2016-09-29,'600401,今非高懸,2.29,2.3,2.28,2.29,2.3,-0.01,-0.4348,0.6952,32845966,75178779.0,10820101498.1,10820101498.1,None
2016-09-28,'600401,今非高懸,2.3,2.32,2.27,2.27,2.28,0.02,0.8772,1.23,58117188,133414612.0,10867350849.6,10867350849.6,None
2016-09-27,'600401,今非高懸,2.28,2.28,2.26,2.27,2.28,0.0,0.0,0.799,37753723,85795390.0,10772852146.6,10772852146.6,None
2016-09-26,'600401,今非高懸,2.28,2.31,2.27,2.31,2.31,-0.03,-1.2987,1.1214,52986083,121253555.0,10772852146.6,10772852146.6,None
2016-09-23,'600401,今非高懸,2.31,2.33,2.31,2.33,2.32,-0.01,-0.431,0.7364,34795848,80519856.0,10914600201.1,10914600201.1,None
2016-09-22,'600401,今非高懸,2.32,2.34,2.32,2.33,2.32,0.0,0.0,0.9082,42912997,99892537.0,10961849552.6,10961849552.6,None
2016-09-21,'600401,今非高懸,2.32,2.33,2.31,2.32,2.32,0.0,0.0,0.519,24522955,56970765.0,10961849552.6,10961849552.6,None
2016-09-20,'600401,今非高懸,2.32,2.34,2.31,2.33,2.34,-0.02,-0.8547,0.7733,36537545,84819468.0,10961849552.6,10961849552.6,None
2016-09-19,'600401,今非高懸,2.34,2.34,2.3,2.31,2.31,0.03,1.2987,1.3078,61790889,143534385.0,11056348255.7,11056348255.7,None
2016-09-14,'600401,今非高懸,2.31,2.32,2.29,2.31,2.32,-0.01,-0.431,0.9823,46414900,106933075.0,10914600201.1,10914600201.1,None
2016-09-13,'600401,今非高懸,2.32,2.32,2.3,2.31,2.31,0.01,0.4329,0.7481,35348113,81718165.0,10961849552.6,10961849552.6,None
2016-09-12,'600401,今非高懸,2.31,2.35,2.3,2.34,2.36,-0.05,-2.1186,1.876,88638186,205622766.0,10914600201.1,10914600201.1,None
2016-09-09,'600401,今非高懸,2.36,2.38,2.36,2.38,2.38,-0.02,-0.8403,0.8521,40263217,95329947.0,11150846958.7,11150846958.7,None
