�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉,傖蝠捩杅
2016-10-12,'600510,窪警竣,9.21,9.27,9.13,9.23,9.28,-0.07,-0.7543,0.9108,7245475,66576783.0,9643745180.25,7326764067.0,None
2016-10-11,'600510,窪警竣,9.28,9.3,9.06,9.15,9.23,0.05,0.5417,1.3966,11110614,101985467.0,9717041832.0,7382450656.0,None
2016-10-10,'600510,窪警竣,9.23,9.6,8.9,9.52,9.68,-0.45,-4.6488,2.8683,22818274,209070863.0,9664687080.75,7342674521.0,None
2016-09-30,'600510,窪警竣,9.68,9.86,9.66,9.74,9.83,-0.15,-1.5259,1.2317,9798570,95703388.0,10135879842.0,7700659736.0,None
2016-09-29,'600510,窪警竣,9.83,9.85,9.62,9.7,9.74,0.09,0.924,1.5837,12599082,122697390.0,10292944095.8,7819988141.0,None
2016-09-28,'600510,窪警竣,9.74,9.98,9.56,9.7,9.75,-0.01,-0.1026,2.26,17978743,175709797.0,10198705543.5,7748391098.0,None
2016-09-27,'600510,窪警竣,9.75,9.83,9.35,9.6,9.61,0.14,1.4568,2.9693,23621712,226400432.0,10209176493.8,7756346325.0,None
2016-09-26,'600510,窪警竣,9.61,9.89,9.17,9.17,9.17,0.44,4.7983,3.713,29537386,282477049.0,10062583190.2,7644973147.0,None
2016-09-23,'600510,窪警竣,9.17,9.41,9.11,9.29,9.26,-0.09,-0.9719,1.0952,8712793,80868308.0,9601861379.25,7294943159.0,None
2016-09-22,'600510,窪警竣,9.26,9.48,9.21,9.25,9.25,0.01,0.1081,1.2244,9740506,90664563.0,9696099931.5,7366540202.0,None
2016-09-21,'600510,窪警竣,9.25,9.37,9.2,9.21,9.38,-0.13,-1.3859,1.5474,12310267,114030788.0,9685628981.25,7358584975.0,None
2016-09-20,'600510,窪警竣,9.38,9.58,8.89,9.04,9.02,0.36,3.9911,1.734,13794216,127325487.0,9821751334.5,7462002926.0,None
2016-09-19,'600510,窪警竣,9.02,9.04,8.81,8.84,8.84,0.18,2.0362,0.4924,3917427,34990068.0,9444797125.5,7175614754.0,None
2016-09-14,'600510,窪警竣,8.84,8.97,8.75,8.86,8.94,-0.1,-1.1186,0.5351,4257067,37722857.0,9256320021.0,7032420668.0,None
2016-09-13,'600510,窪警竣,8.94,8.99,8.7,8.79,8.69,0.25,2.8769,0.8732,6946462,61522812.0,9361029523.5,7111972938.0,None
2016-09-12,'600510,窪警竣,8.69,8.94,8.65,8.9,8.99,-0.3,-3.337,0.985,7835709,68945747.0,9099255767.25,6913092263.0,None
2016-09-09,'600510,窪警竣,8.99,9.25,8.98,9.19,9.25,-0.26,-2.8108,1.2928,10284744,93527480.0,9413384274.75,7151749073.0,None
2016-09-08,'600510,窪警竣,9.25,9.45,9.12,9.14,9.25,0.0,0.0,2.2013,17511966,163158914.0,9685628981.25,7358584975.0,None
2016-09-07,'600510,窪警竣,9.25,9.35,8.35,8.88,8.89,0.36,4.0495,2.8425,22612753,206850902.0,9685628981.25,7358584975.0,None
2016-09-06,'600510,窪警竣,8.89,8.9,8.68,8.9,8.87,0.02,0.2255,0.9134,7266422,63864386.0,9308674772.25,7072196803.0,None
2016-09-05,'600510,窪警竣,8.87,8.99,8.82,8.96,8.94,-0.07,-0.783,0.8301,6603869,58524382.0,9287732871.75,7056286349.0,None
2016-09-02,'600510,窪警竣,8.94,9.02,8.66,8.7,8.77,0.17,1.9384,1.7256,13727373,121862500.0,9361029523.5,7111972938.0,None
2016-09-01,'600510,窪警竣,8.77,8.8,8.63,8.72,8.7,0.07,0.8046,0.9357,7444100,65016090.0,9183023369.25,6976734079.0,None
2016-08-31,'600510,窪警竣,8.7,8.83,8.66,8.72,8.63,0.07,0.8111,0.9041,7192089,62775774.0,9109726717.5,6921047490.0,None
2016-08-30,'600510,窪警竣,8.63,8.69,8.58,8.64,8.62,0.01,0.116,0.3318,2639325,22794895.0,9036430065.75,6865360901.0,None
2016-08-29,'600510,窪警竣,8.62,8.74,8.52,8.52,8.55,0.07,0.8187,0.6858,5455518,47201483.0,9025959115.5,6857405674.0,None
2016-08-26,'600510,窪警竣,8.55,8.59,8.48,8.51,8.51,0.04,0.47,0.3846,3059855,26133014.0,8952662463.75,6801719085.0,None
2016-08-25,'600510,窪警竣,8.51,8.58,8.37,8.58,8.62,-0.11,-1.2761,0.5524,4394721,37115028.0,8910778662.75,6769898177.0,None
2016-08-24,'600510,窪警竣,8.62,8.7,8.6,8.67,8.63,-0.01,-0.1159,0.4647,3696943,31934994.0,9025959115.5,6857405674.0,None
2016-08-23,'600510,窪警竣,8.63,8.72,8.57,8.61,8.58,0.05,0.5828,0.5092,4051043,35056883.0,9036430065.75,6865360901.0,None
2016-08-22,'600510,窪警竣,8.58,8.68,8.54,8.65,8.63,-0.05,-0.5794,0.4754,3781660,32582936.0,8984075314.5,6825584766.0,None
2016-08-19,'600510,窪警竣,8.63,8.67,8.55,8.67,8.66,-0.03,-0.3464,0.527,4192326,36060876.0,9036430065.75,6865360901.0,None
