ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต,ณษฝปฑสสý
2016-10-12,'600711,สขออฟ๓าต,7.4,7.47,7.32,7.39,7.38,0.02,0.271,1.2803,18650885,138085355.0,11078187057.0,10779930057.0,None
2016-10-11,'600711,สขออฟ๓าต,7.38,7.38,7.26,7.28,7.33,0.05,0.6821,1.3681,19930450,145801346.0,11048246010.9,10750795110.9,None
2016-10-10,'600711,สขออฟ๓าต,7.33,7.34,7.11,7.21,7.23,0.1,1.3831,1.6844,24536744,176528646.0,10973393395.6,10677957745.6,None
2016-09-30,'600711,สขออฟ๓าต,7.23,7.26,7.2,7.23,7.23,0.0,0.0,0.6971,10154582,73396107.0,10823688165.1,10532283015.1,None
2016-09-29,'600711,สขออฟ๓าต,7.23,7.33,7.23,7.3,7.27,-0.04,-0.5502,0.8909,12977984,94249565.0,10823688165.1,10532283015.1,None
2016-09-28,'600711,สขออฟ๓าต,7.27,7.34,7.2,7.34,7.31,-0.04,-0.5472,0.8032,11700193,84825305.0,10883570257.4,10590552907.4,None
2016-09-27,'600711,สขออฟ๓าต,7.31,7.33,7.17,7.17,7.22,0.09,1.2465,1.0259,14945283,108316106.0,10943452349.5,10648822799.5,None
2016-09-26,'600711,สขออฟ๓าต,7.22,7.48,7.2,7.45,7.5,-0.28,-3.7333,1.8488,26932839,197301672.0,10808717642.1,10517715542.1,None
2016-09-23,'600711,สขออฟ๓าต,7.5,7.69,7.49,7.67,7.64,-0.14,-1.8325,1.4766,21510969,162604475.0,11227892287.5,10925604787.5,None
2016-09-22,'600711,สขออฟ๓าต,7.64,7.82,7.62,7.78,7.7,-0.06,-0.7792,1.7066,24861434,191502616.0,11437479610.2,11129549410.2,None
2016-09-21,'600711,สขออฟ๓าต,7.7,7.7,7.62,7.65,7.69,0.01,0.13,0.9382,13667545,104707536.0,11527302748.5,11216954248.5,None
2016-09-20,'600711,สขออฟ๓าต,7.69,7.78,7.6,7.77,7.74,-0.05,-0.646,1.0038,14622183,112117217.0,11512332225.5,11202386775.5,None
2016-09-19,'600711,สขออฟ๓าต,7.74,7.79,7.68,7.7,7.69,0.05,0.6502,1.0062,14657159,113448380.0,11587184840.7,11275224140.7,None
2016-09-14,'600711,สขออฟ๓าต,7.69,7.74,7.57,7.6,7.67,0.02,0.2608,1.2958,18876206,144652036.0,11512332225.5,11202386775.5,None
2016-09-13,'600711,สขออฟ๓าต,7.67,7.77,7.56,7.68,7.61,0.06,0.7884,1.4033,20442014,156638349.0,11482391179.4,11173251829.4,None
2016-09-12,'600711,สขออฟ๓าต,7.61,7.9,7.6,7.9,8.07,-0.46,-5.7001,2.7906,40651283,314332975.0,11392568041.0,11085846991.0,None
2016-09-09,'600711,สขออฟ๓าต,8.07,8.28,8.05,8.12,8.16,-0.09,-1.1029,1.9636,28603973,232914982.0,12081212101.4,11755950751.4,None
2016-09-08,'600711,สขออฟ๓าต,8.16,8.23,8.07,8.2,8.29,-0.13,-1.5682,2.4852,36203006,294922934.0,12215946808.8,11887058008.8,None
2016-09-07,'600711,สขออฟ๓าต,8.29,8.52,8.17,8.25,8.2,0.09,1.0976,4.3427,63261865,527119219.0,12410563608.5,12076435158.5,None
2016-09-06,'600711,สขออฟ๓าต,8.2,8.31,8.05,8.3,8.27,-0.07,-0.8464,2.7383,39890756,324929982.0,12275828901.0,11945327901.0,None
2016-09-05,'600711,สขออฟ๓าต,8.27,8.41,8.03,8.14,8.04,0.23,2.8607,4.9535,72160559,594263147.0,12380622562.4,12047300212.4,None
2016-09-02,'600711,สขออฟ๓าต,8.04,8.12,7.81,7.85,7.81,0.23,2.9449,3.7671,54876456,441103099.0,12036300532.2,11712248332.2,None
2016-09-01,'600711,สขออฟ๓าต,7.81,7.97,7.81,7.93,7.94,-0.13,-1.6373,1.043,15193401,120055167.0,11691978502.0,11377196452.0,None
2016-08-31,'600711,สขออฟ๓าต,7.94,7.97,7.83,7.95,7.97,-0.03,-0.3764,1.2658,18439898,145715349.0,11886595301.7,11566573601.7,None
2016-08-30,'600711,สขออฟ๓าต,7.97,8.04,7.85,7.86,7.83,0.14,1.788,1.622,23628652,187932741.0,11931506870.9,11610276020.9,None
2016-08-29,'600711,สขออฟ๓าต,7.83,7.86,7.76,7.82,7.86,-0.03,-0.3817,0.815,11872345,92764317.0,11721919548.1,11406331398.1,None
2016-08-26,'600711,สขออฟ๓าต,7.86,7.97,7.78,7.85,7.82,0.04,0.5115,1.3833,20151800,159010654.0,11766831117.3,11450033817.3,None
2016-08-25,'600711,สขออฟ๓าต,7.82,7.86,7.6,7.8,7.87,-0.05,-0.6353,2.1948,31972836,246752336.0,11706949025.1,11391763925.1,None
2016-08-24,'600711,สขออฟ๓าต,7.87,7.95,7.79,7.81,7.83,0.04,0.5109,1.4077,20506830,161600465.0,11781801640.4,11464601290.4,None
2016-08-23,'600711,สขออฟ๓าต,7.83,7.86,7.74,7.81,7.81,0.02,0.2561,1.5398,22430798,175007277.0,11721919548.1,11406331398.1,None
2016-08-22,'600711,สขออฟ๓าต,7.81,8.07,7.76,8.07,8.08,-0.27,-3.3416,2.847,41474004,326543274.0,11691978502.0,11377196452.0,None
2016-08-19,'600711,สขออฟ๓าต,8.08,8.13,7.98,8.07,8.09,-0.01,-0.1236,1.6408,23902341,192848454.0,12096182624.4,11770518224.4,None
2016-08-18,'600711,สขออฟ๓าต,8.09,8.33,8.06,8.25,8.26,-0.17,-2.0581,3.9672,57791522,470310375.0,12111153147.5,11785085697.5,None
2016-08-17,'600711,สขออฟ๓าต,8.26,8.47,8.21,8.29,8.32,-0.06,-0.7212,2.8036,40841980,339620064.0,12365652039.3,12032732739.3,None
2016-08-16,'600711,สขออฟ๓าต,8.32,8.55,8.26,8.46,8.2,0.12,1.4634,4.7166,68709024,575424909.0,12455475177.6,12120137577.6,None
2016-08-15,'600711,สขออฟ๓าต,8.2,8.23,7.9,8.05,8.03,0.17,2.1171,3.3797,49234195,399101297.0,12275828901.0,11945327901.0,None
2016-08-12,'600711,สขออฟ๓าต,8.03,8.09,7.88,8.0,8.06,-0.03,-0.3722,2.1142,30798776,246307760.0,12021330009.1,11697680859.1,None
2016-08-11,'600711,สขออฟ๓าต,8.06,8.36,7.78,7.92,8.03,0.03,0.3736,5.097,74250183,595636543.0,12066241578.3,11741383278.3,None
2016-08-10,'600711,สขออฟ๓าต,8.03,8.05,7.8,7.86,7.85,0.18,2.293,3.676,53550670,426700647.0,12021330009.1,11697680859.1,None
2016-08-09,'600711,สขออฟ๓าต,7.85,7.94,7.71,7.75,7.8,0.05,0.641,1.9462,28350668,221577623.0,11751860594.2,11435466344.2,None
2016-08-08,'600711,สขออฟ๓าต,7.8,7.85,7.5,7.7,7.89,-0.09,-1.1407,3.3026,48109928,368792008.0,11677007979.0,11362628979.0,None
2016-08-05,'600711,สขออฟ๓าต,7.89,8.03,7.69,7.7,7.69,0.2,2.6008,4.3075,62749639,495685015.0,11811742686.5,11493736236.5,None
2016-08-04,'600711,สขออฟ๓าต,7.69,7.77,7.53,7.68,7.75,-0.06,-0.7742,2.1759,31697953,242148571.0,11512332225.5,11202386775.5,None
2016-08-03,'600711,สขออฟ๓าต,7.75,7.84,7.64,7.7,7.64,0.11,1.4398,2.9563,43065698,333366819.0,11602155363.8,11289791613.8,None
2016-08-02,'600711,สขออฟ๓าต,7.64,7.68,7.48,7.66,7.68,-0.04,-0.5208,1.9906,28997318,219724413.0,11437479610.2,11129549410.2,None
2016-08-01,'600711,สขออฟ๓าต,7.68,7.74,7.39,7.59,7.52,0.16,2.1277,3.0714,44742162,339117725.0,11497361702.4,11187819302.4,None
2016-07-29,'600711,สขออฟ๓าต,7.52,7.74,7.4,7.68,7.68,-0.16,-2.0833,2.5376,36967105,278529806.0,11257833333.6,10954739733.6,None
2016-07-28,'600711,สขออฟ๓าต,7.68,7.82,7.39,7.76,7.67,0.01,0.1304,3.3369,48609860,370960361.0,11497361702.4,11187819302.4,None
2016-07-27,'600711,สขออฟ๓าต,7.67,8.2,7.39,8.2,8.18,-0.51,-6.2347,4.3496,63362981,492129136.0,11482391179.4,11173251829.4,None
2016-07-26,'600711,สขออฟ๓าต,8.18,8.23,8.03,8.08,8.01,0.17,2.1223,3.0562,44521656,362211644.0,12245887854.9,11916192954.9,None
2016-07-25,'600711,สขออฟ๓าต,8.01,8.39,7.98,8.31,8.3,-0.29,-3.494,3.9438,57451146,468226142.0,11991388963.0,11668545913.0,None
2016-07-22,'600711,สขออฟ๓าต,8.3,8.79,8.23,8.4,8.38,-0.08,-0.9547,4.9898,72688368,619745754.0,12425534131.5,12091002631.5,None
2016-07-21,'600711,สขออฟ๓าต,8.38,8.45,8.14,8.18,8.27,0.11,1.3301,2.8552,41593749,346428981.0,12545298315.9,12207542415.9,None
2016-07-20,'600711,สขออฟ๓าต,8.27,8.45,8.24,8.32,8.37,-0.1,-1.1947,2.6934,39236456,327396834.0,12380622562.4,12047300212.4,None
2016-07-19,'600711,สขออฟ๓าต,8.37,8.49,8.13,8.49,8.55,-0.18,-2.1053,4.418,64358926,533948923.0,12530327792.9,12192974942.9,None
2016-07-18,'600711,สขออฟ๓าต,8.55,8.94,8.53,8.71,8.79,-0.24,-2.7304,3.5684,51982995,454788764.0,12799797207.8,12455189457.8,None
2016-07-15,'600711,สขออฟ๓าต,8.79,8.95,8.61,8.7,8.83,-0.04,-0.453,3.7713,54937641,483343390.0,13159089761.0,12804808811.0,None
2016-07-14,'600711,สขออฟ๓าต,8.83,9.0,8.67,9.0,9.03,-0.2,-2.2148,5.5682,81114827,713839321.0,13218971853.1,12863078703.1,None
2016-07-13,'600711,สขออฟ๓าต,9.03,9.27,8.32,8.5,8.57,0.46,5.3676,10.4026,151540178,1348984256.0,13518382314.1,13154428164.1,None
2016-07-12,'600711,สขออฟ๓าต,8.57,8.63,8.25,8.4,8.34,0.23,2.7578,6.5765,95803460,809296260.0,12829738253.9,12484324403.9,None
2016-07-11,'600711,สขออฟ๓าต,8.34,8.67,8.21,8.21,8.12,0.22,2.7094,6.9941,101886108,862451487.0,12485416223.7,12149272523.7,None
2016-07-08,'600711,สขออฟ๓าต,8.12,8.39,8.05,8.21,8.46,-0.34,-4.0189,5.1284,74707232,610758973.0,12156064716.6,11828788116.6,None
2016-07-07,'600711,สขออฟ๓าต,8.46,9.09,8.12,8.33,8.33,0.13,1.5606,10.9239,159133913,1382121670.0,12665062500.3,12324082200.3,None
2016-07-06,'600711,สขออฟ๓าต,8.33,8.51,8.03,8.11,8.09,0.24,2.9666,9.7638,142233710,1179900520.0,12470445700.6,12134705050.6,None
2016-07-05,'600711,สขออฟ๓าต,8.09,8.19,7.91,8.05,8.19,-0.1,-1.221,7.0491,102688273,824549889.0,12111153147.5,11785085697.5,None
2016-07-04,'600711,สขออฟ๓าต,8.19,8.34,7.86,7.99,7.58,0.61,8.0475,10.4659,152461114,1250081115.0,12260858378.0,11930760428.0,None
2016-07-01,'600711,สขออฟ๓าต,7.58,7.69,7.38,7.44,7.4,0.18,2.4324,4.4715,65138347,492612606.0,11347656471.9,11042144571.9,None
2016-06-30,'600711,สขออฟ๓าต,7.4,7.6,7.33,7.44,7.61,-0.21,-2.7595,4.9531,72154516,539264617.0,11078187057.0,10779930057.0,None
2016-06-29,'600711,สขออฟ๓าต,7.61,7.88,7.15,7.15,7.16,0.45,6.2849,10.0877,146952688,1113880225.0,11392568041.0,11085846991.0,None
