хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣,Ёи╫╩╠ййЩ
2016-10-12,'601872,упилбж╢╛,5.19,5.24,5.17,5.23,5.25,-0.06,-1.1429,0.4123,19463172,101200014.0,27504187601.3,24501584188.7,None
2016-10-11,'601872,упилбж╢╛,5.25,5.29,5.19,5.2,5.2,0.05,0.9615,0.545,25729557,134835530.0,27822155088.0,24784839497.2,None
2016-10-10,'601872,упилбж╢╛,5.2,5.21,5.12,5.12,5.1,0.1,1.9608,0.5339,25204023,130525440.0,27557182182.4,24548793406.8,None
2016-09-30,'601872,упилбж╢╛,5.1,5.12,5.08,5.08,5.11,-0.01,-0.1957,0.2778,13115807,66816017.0,27027236371.2,24076701225.9,None
2016-09-29,'601872,упилбж╢╛,5.11,5.14,5.1,5.12,5.1,0.01,0.1961,0.2308,10897540,55757205.0,27080230952.3,24123910444.0,None
2016-09-28,'601872,упилбж╢╛,5.1,5.17,5.09,5.17,5.14,-0.04,-0.7782,0.237,11188158,57201716.0,27027236371.2,24076701225.9,None
2016-09-27,'601872,упилбж╢╛,5.14,5.14,5.08,5.12,5.13,0.01,0.1949,0.3031,14310098,73197815.0,27239214695.7,24265538098.3,None
2016-09-26,'601872,упилбж╢╛,5.13,5.25,5.12,5.24,5.26,-0.13,-2.4715,0.415,19593860,101450669.0,27186220114.6,24218328880.2,None
2016-09-23,'601872,упилбж╢╛,5.26,5.34,5.22,5.25,5.23,0.03,0.5736,0.6841,32296586,170751877.0,27875149669.1,24832048715.3,None
2016-09-22,'601872,упилбж╢╛,5.23,5.32,5.21,5.29,5.21,0.02,0.3839,0.5669,26763628,140325308.0,27716165925.8,24690421061.1,None
2016-09-21,'601872,упилбж╢╛,5.21,5.22,5.14,5.15,5.14,0.07,1.3619,0.5195,24524933,127270430.0,27610176763.5,24596002624.9,None
2016-09-20,'601872,упилбж╢╛,5.14,5.16,5.12,5.15,5.14,0.0,0.0,0.1886,8901945,45705533.0,27239214695.7,24265538098.3,None
2016-09-19,'601872,упилбж╢╛,5.14,5.16,5.12,5.12,5.13,0.01,0.1949,0.2276,10744755,55255771.0,27239214695.7,24265538098.3,None
2016-09-14,'601872,упилбж╢╛,5.13,5.16,5.1,5.14,5.18,-0.05,-0.9653,0.2816,13293499,68170611.0,27186220114.6,24218328880.2,None
2016-09-13,'601872,упилбж╢╛,5.18,5.2,5.14,5.2,5.21,-0.03,-0.5758,0.2979,14064562,72618856.0,27451193020.2,24454374970.6,None
2016-09-12,'601872,упилбж╢╛,5.21,5.22,5.11,5.19,5.3,-0.09,-1.6981,0.9445,44589651,229880405.0,27610176763.5,24596002624.9,None
