»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ,≥…Ωª±  ˝
2016-10-12,'601933,”¿ª‘≥¨ –,4.54,4.56,4.49,4.53,4.55,-0.01,-0.2198,0.317,20634077,93451772.0,43449897970.3,29550275611.2,None
2016-10-11,'601933,”¿ª‘≥¨ –,4.55,4.6,4.51,4.53,4.51,0.04,0.8869,0.4599,29931646,136334816.0,43545602591.4,29615364324.0,None
2016-10-10,'601933,”¿ª‘≥¨ –,4.51,4.53,4.47,4.47,4.46,0.05,1.1211,0.4442,28915144,130147415.0,43162784107.1,29355009472.8,None
2016-09-30,'601933,”¿ª‘≥¨ –,4.46,4.49,4.44,4.47,4.46,0.0,0.0,0.3116,20283024,90536993.0,42684261001.7,29029565908.8,None
2016-09-29,'601933,”¿ª‘≥¨ –,4.46,4.51,4.44,4.47,4.47,-0.01,-0.2237,0.348,22651250,101281852.0,42684261001.7,29029565908.8,None
2016-09-28,'601933,”¿ª‘≥¨ –,4.47,4.52,4.45,4.51,4.49,-0.02,-0.4454,0.3245,21120210,94629557.0,42779965622.8,29094654621.6,None
2016-09-27,'601933,”¿ª‘≥¨ –,4.49,4.5,4.43,4.46,4.46,0.03,0.6726,0.342,22258178,99421920.0,42971374864.9,29224832047.2,None
2016-09-26,'601933,”¿ª‘≥¨ –,4.46,4.63,4.45,4.62,4.63,-0.17,-3.6717,0.6511,42382088,191756425.0,42684261001.7,29029565908.8,None
2016-09-23,'601933,”¿ª‘≥¨ –,4.63,4.68,4.56,4.59,4.58,0.05,1.0917,0.45,29286888,135285202.0,44311239560.0,30136074026.4,None
2016-09-22,'601933,”¿ª‘≥¨ –,4.58,4.63,4.57,4.6,4.58,0.0,0.0,0.5181,33723148,155215373.0,43832716454.6,29810630462.4,None
2016-09-21,'601933,”¿ª‘≥¨ –,4.58,4.6,4.53,4.55,4.58,0.0,0.0,0.322,20959793,95685697.0,43832716454.6,29810630462.4,None
2016-09-20,'601933,”¿ª‘≥¨ –,4.58,4.63,4.55,4.62,4.57,0.01,0.2188,0.3096,20150658,92295588.0,43832716454.6,29810630462.4,None
2016-09-19,'601933,”¿ª‘≥¨ –,4.57,4.59,4.53,4.53,4.53,0.04,0.883,0.3356,21844812,99671921.0,43737011833.6,29745541749.6,None
2016-09-14,'601933,”¿ª‘≥¨ –,4.53,4.58,4.49,4.51,4.53,0.0,0.0,0.4225,27497041,124925414.0,43354193349.2,29485186898.4,None
2016-09-13,'601933,”¿ª‘≥¨ –,4.53,4.55,4.46,4.49,4.5,0.03,0.6667,0.2692,17523459,78874875.0,43354193349.2,29485186898.4,None
2016-09-12,'601933,”¿ª‘≥¨ –,4.5,4.51,4.41,4.46,4.52,-0.02,-0.4425,0.527,34303570,152699229.0,43067079486.0,29289920760.0,None
2016-09-09,'601933,”¿ª‘≥¨ –,4.52,4.61,4.48,4.61,4.59,-0.07,-1.5251,0.7216,46967098,213556889.0,43258488728.2,29420098185.6,None
2016-09-08,'601933,”¿ª‘≥¨ –,4.59,4.63,4.57,4.6,4.6,-0.01,-0.2174,0.2763,17983769,82615276.0,43928421075.7,29875719175.2,None
2016-09-07,'601933,”¿ª‘≥¨ –,4.6,4.66,4.59,4.62,4.62,-0.02,-0.4329,0.4653,28585249,132075851.0,44024125696.8,28258720000.0,None
2016-09-06,'601933,”¿ª‘≥¨ –,4.62,4.64,4.54,4.62,4.6,0.02,0.4348,0.4595,28228021,129459781.0,44215534939.0,28381584000.0,None
2016-09-05,'601933,”¿ª‘≥¨ –,4.6,4.64,4.56,4.59,4.58,0.02,0.4367,0.2632,16167100,74488355.0,44024125696.8,28258720000.0,None
2016-09-02,'601933,”¿ª‘≥¨ –,4.58,4.65,4.57,4.63,4.64,-0.06,-1.2931,0.3887,23879344,109976724.0,43832716454.6,28135856000.0,None
2016-09-01,'601933,”¿ª‘≥¨ –,4.64,4.74,4.63,4.69,4.69,-0.05,-1.0661,0.4121,25318452,118427681.0,44406944181.1,28504448000.0,None
2016-08-31,'601933,”¿ª‘≥¨ –,4.69,4.7,4.64,4.66,4.66,0.03,0.6438,0.428,26291225,122958187.0,44885467286.5,28811608000.0,None
2016-08-30,'601933,”¿ª‘≥¨ –,4.66,4.71,4.65,4.66,4.66,0.0,0.0,0.3607,22156385,103542975.0,44598353423.3,28627312000.0,None
2016-08-29,'601933,”¿ª‘≥¨ –,4.66,4.72,4.65,4.66,4.66,0.0,0.0,0.3845,23619471,110447034.0,44598353423.3,28627312000.0,None
2016-08-26,'601933,”¿ª‘≥¨ –,4.66,4.75,4.64,4.72,4.72,-0.06,-1.2712,0.7329,45021553,211328164.0,44598353423.3,28627312000.0,None
