�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉,傖蝠捩杅
2016-10-12,'002082,集褽陔第,21.68,22.06,21.33,21.68,21.97,-0.29,-1.32,3.2622,7763986,168107241.98,5159840000.0,5159840000.0,6882
2016-10-11,'002082,集褽陔第,21.97,22.38,21.69,21.85,21.81,0.16,0.7336,4.2335,10075665,221839107.02,5228860000.0,5228860000.0,7968
2016-10-10,'002082,集褽陔第,21.81,22.5,21.6,21.67,21.7,0.11,0.5069,3.7998,9043552,199232368.56,5190780000.0,5190780000.0,8100
2016-09-30,'002082,集褽陔第,21.7,22.47,21.39,22.0,21.89,-0.19,-0.868,5.5646,13243821,289578993.79,5164600000.0,5164600000.0,12701
2016-09-29,'002082,集褽陔第,21.89,23.79,21.84,22.46,22.5,-0.61,-2.7111,8.8709,21112751,477623875.38,5209820000.0,5209820000.0,20244
2016-09-28,'002082,集褽陔第,22.5,23.15,20.62,20.81,21.15,1.35,6.383,8.774,20882063,459402916.26,5355000000.0,5355000000.0,15882
2016-09-27,'002082,集褽陔第,21.15,21.5,20.5,21.31,21.3,-0.15,-0.7042,5.4801,13042744,273269103.45,5033700000.0,5033700000.0,10228
2016-09-26,'002082,集褽陔第,21.3,22.26,19.93,20.1,20.25,1.05,5.1852,12.4942,29736137,632695269.39,5069400000.0,5069400000.0,16274
2016-09-23,'002082,集褽陔第,20.25,20.87,18.84,18.9,18.98,1.27,6.6913,6.6997,15945349,318713434.13,4819500000.0,4819500000.0,10802
2016-09-22,'002082,集褽陔第,18.98,19.17,18.45,18.68,18.63,0.35,1.8787,3.8533,9170884,172562347.34,4517240000.0,4517240000.0,4849
2016-09-21,'002082,集褽陔第,18.63,18.99,18.58,18.74,18.74,-0.11,-0.587,1.6543,3937119,73796706.59,4433940000.0,4433940000.0,2702
2016-09-20,'002082,集褽陔第,18.74,18.9,18.46,18.85,18.84,-0.1,-0.5308,1.7498,4164407,77521794.12,4460120000.0,4460120000.0,2944
2016-09-19,'002082,集褽陔第,18.84,19.0,18.1,18.12,18.12,0.72,3.9735,2.7402,6521751,121927866.96,4483920000.0,4483920000.0,4386
2016-09-14,'002082,集褽陔第,18.12,18.23,17.94,18.2,18.26,-0.14,-0.7667,1.7694,4211250,76248269.21,4312560000.0,4312560000.0,2183
2016-09-13,'002082,集褽陔第,18.26,18.33,17.9,17.93,17.9,0.36,2.0112,2.1289,5066900,91930407.83,4345880000.0,4345880000.0,3001
2016-09-12,'002082,集褽陔第,17.9,18.24,17.5,18.15,18.67,-0.77,-4.1243,3.4212,8142541,146028601.48,4260200000.0,4260200000.0,5165
2016-09-09,'002082,集褽陔第,18.67,19.29,18.66,18.9,18.6,0.07,0.3763,3.0558,7272799,137493716.2,4443460000.0,4443460000.0,4978
