ШеЦк,ЙЩЦБДњТы,УћГЦ,ЪеХЬМл,зюИпМл,зюЕЭМл,ПЊХЬМл,ЧАЪеХЬ,еЧЕјЖю,еЧЕјЗљ,ЛЛЪжТЪ,ГЩНЛСП,ГЩНЛН№Жю,змЪажЕ,СїЭЈЪажЕ,ГЩНЛБЪЪ§
2016-10-12,'002287,Цце§ВивЉ,35.54,35.81,35.46,35.6,35.78,-0.24,-0.6708,0.171,694195,24695857.25,14429240000.0,14429240000.0,1547
2016-10-11,'002287,Цце§ВивЉ,35.78,35.9,35.5,35.77,35.75,0.03,0.0839,0.1856,753487,26901615.99,14526680000.0,14526680000.0,1713
2016-10-10,'002287,Цце§ВивЉ,35.75,35.89,35.1,35.1,34.91,0.84,2.4062,0.2518,1022294,36363012.06,14514500000.0,14514500000.0,2007
2016-09-30,'002287,Цце§ВивЉ,34.91,34.98,34.74,34.85,34.85,0.06,0.1722,0.1427,579546,20209441.6,14173460000.0,14173460000.0,1144
2016-09-29,'002287,Цце§ВивЉ,34.85,34.9,34.55,34.65,34.66,0.19,0.5482,0.1648,669243,23266117.88,14149100000.0,14149100000.0,1305
2016-09-28,'002287,Цце§ВивЉ,34.66,35.07,34.66,35.07,34.78,-0.12,-0.345,0.1469,596300,20750704.65,14071960000.0,14071960000.0,1184
2016-09-27,'002287,Цце§ВивЉ,34.78,34.78,34.17,34.41,34.5,0.28,0.8116,0.1688,685400,23705022.56,14120680000.0,14120680000.0,1128
2016-09-26,'002287,Цце§ВивЉ,34.5,35.45,34.5,35.45,35.31,-0.81,-2.294,0.2483,1008289,35192248.85,14007000000.0,14007000000.0,1839
2016-09-23,'002287,Цце§ВивЉ,35.31,35.69,35.21,35.65,35.62,-0.31,-0.8703,0.1967,798792,28286647.65,14335860000.0,14335860000.0,1383
2016-09-22,'002287,Цце§ВивЉ,35.62,36.05,35.6,35.71,35.6,0.02,0.0562,0.2092,849307,30404659.75,14461720000.0,14461720000.0,1517
2016-09-21,'002287,Цце§ВивЉ,35.6,35.78,35.42,35.55,35.55,0.05,0.1406,0.1257,510492,18167316.68,14453600000.0,14453600000.0,937
2016-09-20,'002287,Цце§ВивЉ,35.55,35.79,35.36,35.43,35.58,-0.03,-0.0843,0.1837,745915,26548524.5,14433300000.0,14433300000.0,1552
2016-09-19,'002287,Цце§ВивЉ,35.58,35.64,35.12,35.2,34.99,0.59,1.6862,0.2273,922826,32677195.23,14445480000.0,14445480000.0,1754
2016-09-14,'002287,Цце§ВивЉ,34.99,35.5,34.7,35.45,35.6,-0.61,-1.7135,0.2673,1085232,38072666.6,14205940000.0,14205940000.0,2119
2016-09-13,'002287,Цце§ВивЉ,35.6,35.7,35.3,35.3,35.33,0.27,0.7642,0.262,1063644,37776670.35,14453600000.0,14453600000.0,1803
2016-09-12,'002287,Цце§ВивЉ,35.33,36.71,35.33,36.65,37.4,-2.07,-5.5348,0.7051,2862849,102787136.3,14343980000.0,14343980000.0,4841
2016-09-09,'002287,Цце§ВивЉ,37.4,38.6,37.31,38.1,38.08,-0.68,-1.7857,0.4528,1838484,69950938.67,15184400000.0,15184400000.0,2703
