»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ,≥…Ωª±  ˝
2016-10-12,'002403,∞Æ À¥Ô,15.06,15.1,14.98,15.1,15.15,-0.09,-0.5941,0.8844,2759395,41516674.01,5275831263.06,4698720000.0,2552
2016-10-11,'002403,∞Æ À¥Ô,15.15,15.2,15.04,15.2,15.2,-0.05,-0.3289,1.1456,3574171,54009490.15,5307360135.15,4726800000.0,3108
2016-10-10,'002403,∞Æ À¥Ô,15.2,15.21,15.01,15.07,15.04,0.16,1.0638,1.8961,5915848,89366473.42,5324876175.2,4742400000.0,4181
2016-09-30,'002403,∞Æ À¥Ô,15.04,15.08,14.96,15.04,15.03,0.01,0.0665,1.0386,3240302,48671379.75,5268824847.04,4692480000.0,1966
2016-09-29,'002403,∞Æ À¥Ô,15.03,15.08,14.87,14.98,15.02,0.01,0.0666,1.2867,4014621,60111891.95,5265321639.03,4689360000.0,2738
2016-09-28,'002403,∞Æ À¥Ô,15.02,15.37,14.88,15.19,14.77,0.25,1.6926,1.7377,5421610,81953254.37,5261818431.02,4686240000.0,4374
2016-09-27,'002403,∞Æ À¥Ô,14.77,14.83,14.58,14.83,14.72,0.05,0.3397,0.5977,1864951,27457343.03,5174238230.77,4608240000.0,2048
2016-09-26,'002403,∞Æ À¥Ô,14.72,14.95,14.65,14.82,14.96,-0.24,-1.6043,0.9457,2950675,43766758.12,5156722190.72,4592640000.0,3311
2016-09-23,'002403,∞Æ À¥Ô,14.96,15.05,14.72,14.96,14.95,0.01,0.0669,0.8542,2665053,39712369.68,5240799182.96,4667520000.0,3456
2016-09-22,'002403,∞Æ À¥Ô,14.95,15.08,14.9,15.05,14.96,-0.01,-0.0668,0.5176,1614863,24197110.09,5237295974.95,4664400000.0,1792
2016-09-21,'002403,∞Æ À¥Ô,14.96,15.0,14.62,14.7,14.75,0.21,1.4237,0.8121,2533652,37763959.35,5240799182.96,4667520000.0,2471
2016-09-20,'002403,∞Æ À¥Ô,14.75,14.89,14.58,14.77,14.82,-0.07,-0.4723,0.8072,2518442,37122262.94,5167231814.75,4602000000.0,2546
2016-09-19,'002403,∞Æ À¥Ô,14.82,14.88,14.35,14.35,14.35,0.47,3.2753,1.0653,3323581,48871191.25,5191754270.82,4623840000.0,3671
2016-09-14,'002403,∞Æ À¥Ô,14.35,14.6,14.3,14.45,14.54,-0.19,-1.3067,0.7808,2436114,35200506.97,5027103494.35,4477200000.0,2155
2016-09-13,'002403,∞Æ À¥Ô,14.54,14.72,14.43,14.56,14.51,0.03,0.2068,0.6337,1977158,28749157.27,5093664446.54,4536480000.0,2551
2016-09-12,'002403,∞Æ À¥Ô,14.51,14.8,14.45,14.8,14.93,-0.42,-2.8131,0.8881,2770922,40534674.42,5083154822.51,4527120000.0,3478
2016-09-09,'002403,∞Æ À¥Ô,14.93,15.14,14.85,14.92,14.99,-0.06,-0.4003,0.7545,2354073,35442344.09,5230289558.93,4658160000.0,2832
2016-09-08,'002403,∞Æ À¥Ô,14.99,15.19,14.93,15.01,15.09,-0.1,-0.6627,0.7185,2241691,33726964.17,5251308806.99,4676880000.0,3226
2016-09-07,'002403,∞Æ À¥Ô,15.09,15.35,14.95,14.95,14.93,0.16,1.0717,1.6572,5170398,78515507.8,5286340887.09,4708080000.0,4269
2016-09-06,'002403,∞Æ À¥Ô,14.93,14.94,14.51,14.61,14.72,0.21,1.4266,0.8931,2786473,41166135.04,5230289558.93,4658160000.0,3227
2016-09-05,'002403,∞Æ À¥Ô,14.72,14.89,14.6,14.65,14.6,0.12,0.8219,0.9135,2849974,42068949.7,5156722190.72,4592640000.0,3318
2016-09-02,'002403,∞Æ À¥Ô,14.6,14.9,14.51,14.77,14.84,-0.24,-1.6173,1.3035,4067043,59686215.8,5114683694.6,4555200000.0,4004
2016-09-01,'002403,∞Æ À¥Ô,14.84,15.09,14.84,14.98,14.99,-0.15,-1.0007,0.7605,2372633,35517533.59,5198760686.84,4630080000.0,2486
2016-08-31,'002403,∞Æ À¥Ô,14.99,15.21,14.91,15.2,15.17,-0.18,-1.1866,0.8836,2756848,41410654.64,5251308806.99,4676880000.0,2732
2016-08-30,'002403,∞Æ À¥Ô,15.17,15.2,15.07,15.14,15.15,0.02,0.132,0.6706,2092406,31703195.84,5314366551.17,4733040000.0,2215
2016-08-29,'002403,∞Æ À¥Ô,15.15,15.18,15.0,15.06,15.08,0.07,0.4642,0.7578,2364250,35727373.19,5307360135.15,4726800000.0,2136
2016-08-26,'002403,∞Æ À¥Ô,15.08,15.26,15.0,15.18,15.18,-0.1,-0.6588,1.6519,5154042,77944946.48,5282837679.08,4704960000.0,4534
2016-08-25,'002403,∞Æ À¥Ô,15.18,15.48,14.96,15.44,15.77,-0.59,-3.7413,1.8519,5778071,87613982.24,5317869759.18,4736160000.0,5342
2016-08-24,'002403,∞Æ À¥Ô,15.77,15.97,15.72,15.9,15.89,-0.12,-0.7552,0.9125,2847119,45089181.06,5524559031.77,4920240000.0,2922
2016-08-23,'002403,∞Æ À¥Ô,15.89,15.98,15.44,15.53,15.5,0.39,2.5161,1.5105,4712694,74473425.43,5566597527.89,4957680000.0,4361
2016-08-22,'002403,∞Æ À¥Ô,15.5,15.66,15.29,15.35,15.35,0.15,0.9772,1.0654,3323963,51452107.73,5429972415.5,4836000000.0,3283
2016-08-19,'002403,∞Æ À¥Ô,15.35,15.63,15.29,15.45,15.52,-0.17,-1.0954,1.1686,3645919,56196140.1,5377424295.35,4789200000.0,3415
