ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ,³É½»±ÊÊý
2016-10-12,'002404,¼ÎÐÀË¿³ñ,8.14,8.16,8.06,8.09,8.13,0.01,0.123,1.3518,7037952,57193228.18,4238091000.0,4238091000.0,3484
2016-10-11,'002404,¼ÎÐÀË¿³ñ,8.13,8.14,8.04,8.07,8.09,0.04,0.4944,1.4379,7486231,60581940.32,4232884500.0,4232884500.0,3382
2016-10-10,'002404,¼ÎÐÀË¿³ñ,8.09,8.1,7.96,7.96,7.95,0.14,1.761,1.3256,6901880,55506189.76,4212058500.0,4212058500.0,3740
2016-09-30,'002404,¼ÎÐÀË¿³ñ,7.95,7.96,7.86,7.88,7.9,0.05,0.6329,0.7584,3948620,31266001.0,4139167500.0,4139167500.0,2038
2016-09-29,'002404,¼ÎÐÀË¿³ñ,7.9,8.01,7.79,7.81,7.82,0.08,1.023,1.3887,7230306,57229856.0,4113135000.0,4113135000.0,3648
2016-09-28,'002404,¼ÎÐÀË¿³ñ,7.82,7.83,7.73,7.83,7.8,0.02,0.2564,0.9567,4981260,38771315.23,4071483000.0,4071483000.0,2228
2016-09-27,'002404,¼ÎÐÀË¿³ñ,7.8,7.82,7.66,7.71,7.76,0.04,0.5155,1.1234,5848921,45288414.58,4061070000.0,4061070000.0,3575
2016-09-26,'002404,¼ÎÐÀË¿³ñ,7.76,8.05,7.71,8.03,8.07,-0.31,-3.8414,1.9671,10241460,80576603.08,4040244000.0,4040244000.0,6204
2016-09-23,'002404,¼ÎÐÀË¿³ñ,8.07,8.09,8.03,8.05,8.05,0.02,0.2484,1.2981,6758674,54464568.79,4201645500.0,4201645500.0,3200
2016-09-22,'002404,¼ÎÐÀË¿³ñ,8.05,8.12,8.02,8.1,8.06,-0.01,-0.1241,1.559,8116749,65557154.65,4191232500.0,4191232500.0,4121
2016-09-21,'002404,¼ÎÐÀË¿³ñ,8.06,8.21,8.02,8.21,8.2,-0.14,-1.7073,2.158,11235421,91045608.14,4196439000.0,4196439000.0,6274
2016-09-20,'002404,¼ÎÐÀË¿³ñ,8.2,8.25,8.13,8.15,8.19,0.01,0.1221,1.6516,8599081,70433718.68,4269330000.0,4269330000.0,4669
2016-09-19,'002404,¼ÎÐÀË¿³ñ,8.19,8.31,8.09,8.3,8.45,-0.26,-3.0769,3.2314,16824063,137718151.42,4264123500.0,4264123500.0,8775
2016-09-14,'002404,¼ÎÐÀË¿³ñ,0.0,0.0,0.0,0.0,8.45,None,None,0.0,0,0.0,4399492500.0,4399492500.0,0
2016-09-13,'002404,¼ÎÐÀË¿³ñ,0.0,0.0,0.0,0.0,8.45,None,None,0.0,0,0.0,4399492500.0,4399492500.0,0
