日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2016-10-12,'002454,松芝股份,16.59,16.72,16.42,16.55,16.56,0.03,0.1812,0.6934,2812607,46685772.47,7002970800.0,6728904000.0,2320
2016-10-11,'002454,松芝股份,16.56,16.78,16.38,16.44,16.43,0.13,0.7912,1.417,5747316,95680413.03,6990307200.0,6716736000.0,4620
2016-10-10,'002454,松芝股份,16.43,16.7,15.78,15.78,15.77,0.66,4.1852,1.6137,6545109,107627147.32,6935431600.0,6664008000.0,4718
2016-09-30,'002454,松芝股份,15.77,15.87,15.49,15.51,15.57,0.2,1.2845,0.3338,1353810,21274249.81,6656832400.0,6396312000.0,1583
2016-09-29,'002454,松芝股份,15.57,15.66,15.3,15.46,15.34,0.23,1.4993,0.6483,2629681,40802562.03,6572408400.0,6315192000.0,3401
2016-09-28,'002454,松芝股份,15.34,15.47,15.28,15.37,15.36,-0.02,-0.1302,0.4897,1986232,30541241.57,6475320800.0,6221904000.0,1600
2016-09-27,'002454,松芝股份,15.36,15.57,15.1,15.41,15.47,-0.11,-0.7111,0.7366,2987799,45739429.45,6483763200.0,6230016000.0,2481
2016-09-26,'002454,松芝股份,15.47,15.95,15.47,15.86,15.87,-0.4,-2.5205,0.4985,2021900,31822721.32,6530196400.0,6274632000.0,2038
2016-09-23,'002454,松芝股份,15.87,15.92,15.78,15.79,15.81,0.06,0.3795,0.3974,1611908,25539993.52,6699044400.0,6436872000.0,1289
2016-09-22,'002454,松芝股份,15.81,16.1,15.8,15.9,15.95,-0.14,-0.8777,0.8216,3332260,53112063.78,6673717200.0,6412536000.0,3617
2016-09-21,'002454,松芝股份,15.95,15.99,15.72,15.75,15.74,0.21,1.3342,0.487,1975320,31405877.91,6732814000.0,6469320000.0,2021
2016-09-20,'002454,松芝股份,15.74,15.93,15.66,15.75,15.82,-0.08,-0.5057,0.5538,2246189,35534934.6,6644168800.0,6384144000.0,2229
2016-09-19,'002454,松芝股份,15.82,15.87,15.4,15.48,15.48,0.34,2.1964,1.0641,4315990,67387600.05,6677938400.0,6416592000.0,3624
2016-09-14,'002454,松芝股份,15.48,16.0,15.24,16.0,16.0,-0.52,-3.25,1.7847,7238583,112786414.69,6534417600.0,6278688000.0,5433
2016-09-13,'002454,松芝股份,16.0,16.35,15.75,16.3,16.17,-0.17,-1.0513,0.8847,3588149,57517947.29,6753920000.0,6489600000.0,3154
2016-09-12,'002454,松芝股份,16.17,16.51,16.05,16.51,16.81,-0.64,-3.8073,1.5123,6133909,99647262.75,6825680400.0,6558552000.0,4829
2016-09-09,'002454,松芝股份,16.81,17.35,16.76,17.0,17.13,-0.32,-1.8681,2.2173,8993555,153848850.39,7095837200.0,6818136000.0,7507
2016-09-08,'002454,松芝股份,17.13,17.4,16.98,16.98,16.75,0.38,2.2687,1.8226,7392627,126974995.46,7230915600.0,6947928000.0,6037
2016-09-07,'002454,松芝股份,16.75,17.25,16.67,16.85,16.67,0.08,0.4799,1.5265,6191553,105337202.2,7070510000.0,6793800000.0,5223
2016-09-06,'002454,松芝股份,16.67,16.68,16.28,16.31,16.39,0.28,1.7084,0.929,3768173,62278982.56,7036740400.0,6761352000.0,3368
2016-09-05,'002454,松芝股份,16.39,16.55,16.18,16.25,16.24,0.15,0.9236,0.9456,3835388,62957101.56,6918546800.0,6647784000.0,3514
2016-09-02,'002454,松芝股份,16.24,16.38,16.1,16.3,16.3,-0.06,-0.3681,0.7471,3030071,49184924.34,6855228800.0,6586944000.0,3672
2016-09-01,'002454,松芝股份,16.3,16.79,16.3,16.67,16.68,-0.38,-2.2782,1.2258,4971673,81918036.23,6880556000.0,6611280000.0,3963
2016-08-31,'002454,松芝股份,16.68,16.73,16.53,16.53,16.59,0.09,0.5425,0.5611,2275743,37845686.99,7040961600.0,6765408000.0,2193
2016-08-30,'002454,松芝股份,16.59,16.82,16.49,16.7,16.68,-0.09,-0.5396,1.0462,4243405,70562746.7,7002970800.0,6728904000.0,3035
