�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉,傖蝠捩杅
2016-10-12,'300093,踢試產薛,21.36,21.57,21.17,21.25,21.14,0.22,1.0407,2.0693,4454650,95311960.29,4613760000.0,4598188560.0,3391
2016-10-11,'300093,踢試產薛,21.14,21.25,20.96,21.16,21.16,-0.02,-0.0945,1.5325,3299018,69567759.88,4566240000.0,4550828940.0,2538
2016-10-10,'300093,踢試產薛,21.16,21.2,20.6,20.78,20.5,0.66,3.2195,2.0279,4365499,91368993.1,4570560000.0,4555134360.0,3134
2016-09-30,'300093,踢試產薛,20.5,20.92,20.39,20.67,20.71,-0.21,-1.014,1.2852,2766616,56951839.73,4428000000.0,4413055500.0,2139
2016-09-29,'300093,踢試產薛,20.71,20.99,20.64,20.78,20.61,0.1,0.4852,1.3816,2974112,61989818.12,4473360000.0,4458262410.0,2119
2016-09-28,'300093,踢試產薛,20.61,20.96,20.6,20.96,20.79,-0.18,-0.8658,1.0509,2262291,46894298.15,4451760000.0,4436735310.0,2024
2016-09-27,'300093,踢試產薛,20.79,20.87,20.17,20.17,20.25,0.54,2.6667,1.6166,3480122,71600337.74,4490640000.0,4475484090.0,2810
2016-09-26,'300093,踢試產薛,20.25,20.87,20.21,20.63,20.65,-0.4,-1.937,1.5368,3308201,68186147.93,4374000000.0,4359237750.0,2219
2016-09-23,'300093,踢試產薛,20.65,21.01,20.5,20.96,20.82,-0.17,-0.8165,1.1668,2511837,51953751.05,4460400000.0,4445346150.0,2022
2016-09-22,'300093,踢試產薛,20.82,21.22,20.81,21.03,20.91,-0.09,-0.4304,1.2405,2670513,55894909.73,4497120000.0,4481942220.0,1983
2016-09-21,'300093,踢試產薛,20.91,21.27,20.72,20.72,20.84,0.07,0.3359,0.9676,2082944,43780982.79,4516560000.0,4501316610.0,1890
2016-09-20,'300093,踢試產薛,20.84,21.07,20.51,20.51,20.57,0.27,1.3126,1.5328,3299718,68824465.98,4501440000.0,4486247640.0,3388
2016-09-19,'300093,踢試產薛,20.57,20.95,20.42,20.45,20.5,0.07,0.3415,1.1006,2369243,48998488.66,4443120000.0,4428124470.0,1968
2016-09-14,'300093,踢試產薛,20.5,20.59,20.13,20.13,20.5,0.0,0.0,1.295,2787748,56959290.61,4428000000.0,4413055500.0,2074
2016-09-13,'300093,踢試產薛,20.5,20.99,20.0,20.75,20.7,-0.2,-0.9662,2.4287,5228203,106960977.79,4428000000.0,4413055500.0,3794
2016-09-12,'300093,踢試產薛,20.7,21.24,20.6,20.95,21.5,-0.8,-3.7209,1.9058,4102599,85814358.64,4471200000.0,4456109700.0,3592
2016-09-09,'300093,踢試產薛,21.5,22.02,21.49,22.01,21.93,-0.43,-1.9608,1.5796,3400488,73950537.29,4644000000.0,4628326500.0,2781
2016-09-08,'300093,踢試產薛,21.93,22.14,21.72,21.97,21.9,0.03,0.137,2.0651,4445641,97264408.5,4736880000.0,4720893030.0,3316
2016-09-07,'300093,踢試產薛,21.9,21.97,21.79,21.79,21.8,0.1,0.4587,2.5384,5464367,119589134.73,4730400000.0,4714434900.0,4183
2016-09-06,'300093,踢試產薛,21.8,21.88,21.03,21.83,21.86,-0.06,-0.2745,3.0534,6573015,141141308.97,4708800000.0,4692907800.0,4945
2016-09-05,'300093,踢試產薛,21.86,21.86,21.69,21.69,21.66,0.2,0.9234,1.6357,3521094,76695474.97,4721760000.0,4705824060.0,2644
2016-09-02,'300093,踢試產薛,21.66,21.88,21.51,21.72,21.66,0.0,0.0,1.9149,4122212,89632988.18,4678560000.0,4662769860.0,2924
2016-09-01,'300093,踢試產薛,21.66,21.88,21.61,21.65,21.6,0.06,0.2778,1.9944,4293259,93378609.67,4678560000.0,4662769860.0,3500
2016-08-31,'300093,踢試產薛,21.6,21.72,21.33,21.58,21.54,0.06,0.2786,2.0099,4326832,93156894.88,4665600000.0,4649853600.0,2658
2016-08-30,'300093,踢試產薛,21.54,21.77,21.51,21.51,21.57,-0.03,-0.1391,1.461,3145182,68009645.88,4652640000.0,4636937340.0,2425
2016-08-29,'300093,踢試產薛,21.57,21.89,21.53,21.65,21.7,-0.13,-0.5991,1.3699,2949010,63850822.19,4659120000.0,4643395470.0,2541
2016-08-26,'300093,踢試產薛,21.7,21.93,21.39,21.42,21.54,0.16,0.7428,2.4388,5250122,113974794.32,4687200000.0,4671380700.0,3672
2016-08-25,'300093,踢試產薛,21.54,21.79,21.31,21.68,21.86,-0.32,-1.4639,1.7695,3809219,81760884.84,4652640000.0,4636937340.0,3231
2016-08-24,'300093,踢試產薛,21.86,22.14,21.64,21.64,21.69,0.17,0.7838,1.9928,4289890,94041749.57,4721760000.0,4705824060.0,3235
2016-08-23,'300093,踢試產薛,21.69,21.95,21.56,21.7,21.6,0.09,0.4167,1.6582,3569603,77750893.22,4685040000.0,4669227990.0,2878
2016-08-22,'300093,踢試產薛,21.6,22.27,21.55,22.13,22.13,-0.53,-2.3949,2.6857,5781460,126029953.04,4665600000.0,4649853600.0,4449
2016-08-19,'300093,踢試產薛,22.13,22.54,22.06,22.15,22.32,-0.19,-0.8513,2.081,4479831,99652408.09,4780080000.0,4763947230.0,3652
2016-08-18,'300093,踢試產薛,22.32,22.95,22.25,22.44,22.63,-0.31,-1.3699,3.2296,6952415,156445749.41,4821120000.0,4804848720.0,5588
2016-08-17,'300093,踢試產薛,22.63,22.82,21.97,22.05,22.16,0.47,2.1209,3.7674,8110117,181847912.26,4888080000.0,4871582730.0,6495
2016-08-16,'300093,踢試產薛,22.16,22.36,21.7,21.9,22.17,-0.01,-0.0451,3.6956,7955642,175375283.39,4786560000.0,4770405360.0,7942
2016-08-15,'300093,踢試產薛,22.17,22.26,20.52,21.5,21.68,0.49,2.2601,6.3663,13704710,295413664.32,4788720000.0,4772558070.0,12765
2016-08-12,'300093,踢試產薛,21.68,21.98,21.09,21.28,21.45,0.23,1.0723,6.1135,13160652,282269667.26,4682880000.0,4667075280.0,10320
2016-08-11,'300093,踢試產薛,21.45,21.45,21.45,21.45,23.83,-2.38,-9.9874,1.576,3392600,72771270.0,4633200000.0,4617562950.0,2819
2016-08-10,'300093,踢試產薛,0.0,0.0,0.0,0.0,23.83,None,None,0.0,0,0.0,5147280000.0,5129907930.0,0
2016-08-09,'300093,踢試產薛,0.0,0.0,0.0,0.0,23.83,None,None,0.0,0,0.0,5147280000.0,5129907930.0,0
2016-08-08,'300093,踢試產薛,0.0,0.0,0.0,0.0,23.83,None,None,0.0,0,0.0,5147280000.0,5129907930.0,0
2016-08-05,'300093,踢試產薛,0.0,0.0,0.0,0.0,23.83,None,None,0.0,0,0.0,5147280000.0,5129907930.0,0
2016-08-04,'300093,踢試產薛,0.0,0.0,0.0,0.0,23.83,None,None,0.0,0,0.0,5147280000.0,5129907930.0,0
2016-08-03,'300093,踢試產薛,23.83,23.9,23.57,23.8,23.88,-0.05,-0.2094,1.7465,3759715,89249439.31,5147280000.0,5129907930.0,3388
2016-08-02,'300093,踢試產薛,23.88,23.98,23.15,23.39,23.25,0.63,2.7097,2.7792,5982811,141158866.91,5158080000.0,5140671480.0,5329
2016-08-01,'300093,踢試產薛,23.25,23.5,22.3,22.77,22.9,0.35,1.5284,2.6573,5720464,131228845.54,5022000000.0,5005050750.0,5231
2016-07-29,'300093,踢試產薛,22.9,23.3,22.19,22.64,22.62,0.28,1.2378,2.8649,6167388,140428315.62,4946400000.0,4929705900.0,5672
2016-07-28,'300093,踢試產薛,22.62,23.31,21.85,23.1,23.21,-0.59,-2.542,4.306,9269625,209762880.02,4885920000.0,4869430020.0,7968
2016-07-27,'300093,踢試產薛,23.21,25.88,23.11,25.64,25.68,-2.47,-9.6184,6.6535,14322997,348821294.35,5013360000.0,4996439910.0,11792
2016-07-26,'300093,踢試產薛,25.68,26.4,25.4,26.3,26.4,-0.72,-2.7273,6.1151,13164028,338732078.77,5546880000.0,5528159280.0,10947
2016-07-25,'300093,踢試產薛,26.4,26.86,25.7,25.95,25.26,1.14,4.5131,6.75,14530802,382874326.59,5702400000.0,5683154400.0,12785
2016-07-22,'300093,踢試產薛,25.26,26.07,25.25,25.61,25.75,-0.49,-1.9029,3.172,6828374,175728991.41,5456160000.0,5437745460.0,6490
2016-07-21,'300093,踢試產薛,25.75,26.1,25.41,25.45,25.68,0.07,0.2726,3.2597,7017091,181137929.05,5562000000.0,5543228250.0,6149
2016-07-20,'300093,踢試產薛,25.68,26.43,25.61,25.96,26.15,-0.47,-1.7973,4.9283,10609241,275158962.07,5546880000.0,5528159280.0,8779
2016-07-19,'300093,踢試產薛,26.15,26.15,25.1,25.42,25.73,0.42,1.6323,5.4951,11829431,302608728.46,5648400000.0,5629336650.0,10048
2016-07-18,'300093,踢試產薛,25.73,26.5,25.38,25.7,25.67,0.06,0.2337,5.9226,12749622,331899497.34,5557680000.0,5538922830.0,10996
2016-07-15,'300093,踢試產薛,25.67,26.5,25.67,26.5,26.81,-1.14,-4.2521,6.8918,14835943,386098478.37,5544720000.0,5526006570.0,14476
2016-07-14,'300093,踢試產薛,26.81,28.22,26.58,26.86,26.59,0.22,0.8274,13.6136,29306091,793953360.43,5790960000.0,5771415510.0,25249
2016-07-13,'300093,踢試產薛,26.59,26.59,24.05,24.18,24.17,2.42,10.0124,9.9516,21422853,545225762.81,5743440000.0,5724055890.0,13255
2016-07-12,'300093,踢試產薛,24.17,24.35,23.0,23.58,23.53,0.64,2.7199,4.4551,9590464,228562596.85,5220720000.0,5203100070.0,7369
2016-07-11,'300093,踢試產薛,23.53,24.3,23.51,23.85,23.95,-0.42,-1.7537,3.5465,7634496,181820529.9,5082480000.0,5065326630.0,5393
2016-07-08,'300093,踢試產薛,23.95,24.43,23.66,24.24,24.12,-0.17,-0.7048,3.4356,7395832,177503734.43,5173200000.0,5155740450.0,5621
2016-07-07,'300093,踢試產薛,24.12,24.49,23.7,23.8,23.88,0.24,1.005,4.8435,10426712,251740919.04,5209920000.0,5192336520.0,8157
2016-07-06,'300093,踢試產薛,23.88,24.21,23.46,23.69,23.85,0.03,0.1258,3.7219,8012268,190550612.75,5158080000.0,5140671480.0,6885
2016-07-05,'300093,踢試產薛,23.85,24.5,23.76,23.77,23.55,0.3,1.2739,5.5782,12008308,289032568.3,5151600000.0,5134213350.0,10416
2016-07-04,'300093,踢試產薛,23.55,23.72,23.03,23.23,23.39,0.16,0.6841,3.9076,8411953,197417192.5,5086800000.0,5069632050.0,5829
2016-07-01,'300093,踢試產薛,23.39,23.75,23.19,23.53,23.69,-0.3,-1.2664,3.6064,7763525,181622739.65,5052240000.0,5035188690.0,5966
